thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
002230.SZ,20190331,15260258733.32,44.7598,124835335.32,1958367539.17,6830467856.6,8429790876.72,中游
688111.SH,20190331,1644965758.81,24.6054,47781217.87,284398777.85,404750417.36,1240215341.45,中游
300229.SZ,20190331,2619265068.66,27.0724,8056262.47,206007708.27,709098023.72,1910167044.94,中游
688327.SH,20190331,,,,,,,中游
002415.SZ,20190331,60547762104.6,34.6206,1517925039.43,9942448619.42,20961980552.49,39585781552.11,中游
603160.SH,20190331,5786484896.7,20.6564,414214424.07,1224785064.56,1195277884.6,4591207012.1,中游
300033.SZ,20190331,4120159135.08,22.9742,100390208.29,286637038.31,946571770.19,3173587364.89,中游
002405.SZ,20190331,9024567634.42,17.6612,38699107.84,521929835.43,1593849071.86,7430718562.56,中游
300624.SZ,20190331,720248397.19,13.8056,24044465.93,171861502.92,99434915.93,620813481.26,中游
300634.SZ,20190331,1639055022.02,19.979,28488223.41,151791879.22,327466301.27,1311588720.75,中游
002777.SZ,20190331,1918538157.7,41.1749,14164963.64,126257210.73,789956362.15,1128581795.55,中游
300365.SZ,20190331,2489729293.69,26.1423,8848069.04,106890910.2,650872116.58,1838857177.11,中游
688088.SH,20190331,1247027056.95,15.428,30421221.62,126048068.98,192391376.03,1054635680.92,中游
300496.SZ,20190331,2497771260.93,35.03,49564362.94,334885053.5,874968097.83,1622803163.1,中游
002253.SZ,20190331,1616916770.44,13.103,3183665.19,43470115.95,211865071.98,1405051698.46,中游
300078.SZ,20190331,3345296622.51,32.0573,26202306.51,303023959.84,1072412413.21,2272884209.3,中游
002236.SZ,20190331,25249751298.42,47.3873,305420296.81,4347918104.26,11965178903.75,13284572394.67,中游
688023.SH,20190331,,,-37334691.58,81111735.0,,,中游
300451.SZ,20190331,3033565452.67,20.0672,64025564.66,320103330.07,608752304.15,2424813148.52,中游
000997.SZ,20190331,11459440082.67,49.5179,250092963.03,1214534746.01,5674472258.49,5784967824.18,中游
002230.SZ,20190630,15962880593.06,44.2013,249866510.66,4228169340.71,7055794220.73,8907086372.33,中游
688111.SH,20190630,1840464239.52,26.8097,146895686.54,685261975.49,493422051.82,1347042187.7,中游
300229.SZ,20190630,2644605685.99,25.9868,30684574.48,419624703.36,687248129.48,1957357556.51,中游
688327.SH,20190630,,,,,,,中游
002415.SZ,20190630,64344901612.62,42.6025,4223761290.19,23923273424.5,27412534764.08,36932366848.54,中游
603160.SH,20190630,6919446252.07,27.8782,1016840592.76,2886715291.61,1929017842.78,4990428409.29,中游
300033.SZ,20190630,4331817386.81,22.7024,264566180.0,702417683.27,983428198.98,3348389187.83,中游
002405.SZ,20190630,9086581109.2,17.7798,61235718.39,1083711968.68,1615580090.82,7471001018.38,中游
300624.SZ,20190630,834991833.8,22.1243,52952693.18,339117861.05,184736305.86,650255527.94,中游
300634.SZ,20190630,1631117545.65,19.8929,59170784.75,320610896.75,324475992.33,1306641553.32,中游
002777.SZ,20190630,1875005049.62,39.4321,64369211.62,340771740.51,739354154.09,1135650895.53,中游
300365.SZ,20190630,2587140356.99,26.5765,90651015.36,443779074.7,687571701.08,1899568655.91,中游
688088.SH,20190630,1360231057.84,17.7038,95740580.99,276134614.34,240812280.4,1119418777.44,中游
300496.SZ,20190630,2387747399.85,29.0721,90674749.85,735081350.07,694169120.47,1693578279.38,中游
002253.SZ,20190630,1601063898.63,13.3854,9917930.55,107740599.05,214309607.58,1386754291.05,中游
300078.SZ,20190630,3483102781.79,33.3496,85712790.08,723768105.91,1161600237.86,2321502543.93,中游
002236.SZ,20190630,27427525950.44,49.4905,1204662193.99,10806566370.89,13574023594.24,13853502356.2,中游
688023.SH,20190630,796596228.3,43.711,-58225524.62,264979050.94,348200362.4,448395865.9,中游
300451.SZ,20190630,3089377317.44,19.9859,129635026.84,613845851.35,617439575.07,2471937742.37,中游
000997.SZ,20190630,12087535622.28,49.7532,446488560.59,2568064635.54,6013939286.39,6073596335.89,中游
002230.SZ,20190930,19204891874.38,39.8559,477074257.01,6573103454.93,7654284268.54,11550607605.84,中游
688111.SH,20190930,1965650974.2,28.2407,204411343.18,1042079122.13,555113375.03,1410537599.17,中游
300229.SZ,20190930,2692757478.19,25.9133,68086459.35,640379330.46,697781222.18,1994976256.01,中游
688327.SH,20190930,,,,,,,中游
002415.SZ,20190930,68288828836.24,39.9392,8094091870.41,39838916228.85,27273995295.03,41014833541.21,中游
603160.SH,20190930,7619880879.61,24.9309,1712310161.99,4678220795.52,1899701592.61,5720179287.0,中游
300033.SZ,20190930,4686298877.19,24.1781,458359356.94,1156062650.08,1133057802.45,3553241074.74,中游
002405.SZ,20190930,8575483079.37,11.9995,-10833006.74,1535044127.53,1029019350.39,7546463728.98,中游
300624.SZ,20190930,857670663.96,19.4925,86941320.84,515099157.03,167181869.96,690488794.0,中游
300634.SZ,20190930,1645640625.61,18.7755,93172143.99,496519357.44,308977750.21,1336662875.4,中游
002777.SZ,20190930,1943591242.63,40.3732,90919309.76,495492091.39,784690248.96,1158900993.67,中游
300365.SZ,20190930,2663732483.46,27.0606,129435642.11,659553276.32,720822932.67,1942909550.79,中游
688088.SH,20190930,2680217980.75,9.2719,141715466.55,412881774.18,248506506.32,2431711474.43,中游
300496.SZ,20190930,2809175119.49,37.161,158482110.39,1274152796.53,1043917787.61,1765257331.88,中游
002253.SZ,20190930,1631371142.8,14.0069,23991067.05,180040573.49,228505182.7,1402865960.1,中游
300078.SZ,20190930,3567232933.03,34.4616,117449209.49,1067869881.06,1229326092.8,2337906840.23,中游
002236.SZ,20190930,27920148513.49,48.3759,1830482376.44,16428235097.23,13506629135.22,14413519378.27,中游
688023.SH,20190930,887733660.91,47.6116,-41551980.54,471198504.81,422664250.93,465069409.98,中游
300451.SZ,20190930,3175869664.38,20.1986,189839103.06,942600398.25,641481870.85,2534387793.53,中游
000997.SZ,20190930,10902930766.3,44.8072,646328882.46,3875271832.02,4885300288.22,6017630478.08,中游
002230.SZ,20191231,20100836085.61,41.6202,943070469.56,10078688919.69,8366000082.72,11734836002.89,中游
688111.SH,20191231,6843993486.59,11.3298,400579204.93,1579520610.25,775413228.15,6068580258.44,中游
300229.SZ,20191231,2889279680.67,26.6144,161565602.97,967305988.93,768965042.72,2120314637.95,中游
688327.SH,20191231,2364310482.77,34.2693,-692099470.27,807347204.5,810233364.75,1554077118.02,中游
002415.SZ,20191231,75358000240.29,39.6576,12465184302.65,57658110065.22,29885141355.15,45472858885.14,中游
603160.SH,20191231,7848782537.7,17.9564,2317357060.66,6473254534.5,1409358144.96,6439424392.74,中游
300033.SZ,20191231,5235969278.51,23.7954,897675406.14,1742093893.2,1245917501.47,3990051777.04,中游
002405.SZ,20191231,9055622455.51,11.7525,306475244.64,2309742643.97,1064257822.8,7991364632.71,中游
300624.SZ,20191231,902960094.43,22.4371,80175081.33,703474142.6,202597940.87,700362153.56,中游
300634.SZ,20191231,1716278369.24,18.0621,139471142.4,732082880.63,309996503.21,1406281866.03,中游
002777.SZ,20191231,2045383667.36,38.9337,181333250.19,1016378796.96,796342662.38,1249041004.98,中游
300365.SZ,20191231,2818795281.48,23.9024,295317677.51,1123172356.51,673759121.72,2145036159.76,中游
688088.SH,20191231,2748582105.32,9.0709,210366613.34,564477015.8,249320645.0,2499261460.32,中游
300496.SZ,20191231,2829599500.38,30.4067,237048864.33,1826858644.65,860388830.96,1969210669.42,中游
002253.SZ,20191231,1711135104.86,15.3886,56910722.75,342509091.74,263320169.17,1447814935.69,中游
300078.SZ,20191231,4192899452.06,30.5825,112719850.22,1539064250.5,1282294666.17,2910604785.89,中游
002236.SZ,20191231,29564650212.93,45.9619,3160858484.54,26149430652.42,13588482501.27,15976167711.66,中游
688023.SH,20191231,2172172735.8,28.626,92173153.96,944032874.31,621806223.22,1550366512.58,中游
300451.SZ,20191231,3589661923.11,26.8629,318711981.33,1479824747.66,964285779.32,2625376143.79,中游
000997.SZ,20191231,12249773080.69,48.451,722831920.89,5631027316.1,5935135657.42,6314637423.27,中游
002230.SZ,20200331,19502448035.58,40.2592,-124879982.33,1408820489.46,7851532425.91,11650915609.67,中游
688111.SH,20200331,6957055079.72,11.1282,110314478.53,372265142.61,774198197.15,6182856882.57,中游
300229.SZ,20200331,2861804518.27,32.8353,8544161.66,138988155.31,939682287.33,1922122230.94,中游
688327.SH,20200331,,,,,,,中游
002415.SZ,20200331,73083912948.3,35.7055,1553400547.01,9428902974.38,26094986234.52,46988926713.78,中游
603160.SH,20200331,8017163625.71,16.4058,204712839.58,1350516369.18,1315280207.18,6701883418.53,中游
300033.SZ,20200331,5349758151.85,31.423,126844273.46,384438136.56,1681057098.78,3668701053.07,中游
002405.SZ,20200331,8825815206.15,10.3693,-86888007.96,394590435.47,915174544.12,7910640662.03,中游
300624.SZ,20200331,921362219.18,19.9482,34812447.0,197236731.88,183795235.92,737566983.26,中游
300634.SZ,20200331,1776986293.81,21.03,18435701.77,147933492.46,373699620.52,1403286673.29,中游
002777.SZ,20200331,1968725733.44,35.9609,9096610.86,107836726.26,707971320.51,1260754412.93,中游
300365.SZ,20200331,2775862903.06,22.5307,6512858.05,70215925.77,625421359.53,2150441543.53,中游
688088.SH,20200331,2850535600.11,10.28,49295831.45,165119799.86,293036472.2,2557499127.91,中游
300496.SZ,20200331,3350112211.78,41.2633,67701730.32,442121146.16,1382366383.16,1967745828.62,中游
002253.SZ,20200331,1693988295.61,14.3734,4077440.59,37010326.04,243483454.5,1450504841.11,中游
300078.SZ,20200331,4597650004.26,34.1752,22025430.47,333323551.29,1571254503.05,3026395501.21,中游
002236.SZ,20200331,28388447811.63,42.5202,309131986.37,3501562275.8,12070823367.5,16317624444.13,中游
688023.SH,20200331,1943054999.83,22.4412,-44132509.35,116556998.48,436044374.6,1507010625.23,中游
300451.SZ,20200331,3584228557.48,25.5512,59235559.15,327652582.46,915812653.59,2668415903.89,中游
000997.SZ,20200331,11388059503.85,43.1768,105280951.95,1103471582.78,4916998844.3,6471060659.55,中游
002230.SZ,20200630,20936200358.45,42.3345,285713456.64,4349201290.01,8863235473.14,12072964885.31,中游
688111.SH,20200630,7239383401.83,13.0629,357402303.87,915768796.76,945676855.24,6293706546.59,中游
300229.SZ,20200630,2851257881.63,32.2145,43075453.16,343871138.44,918517112.57,1932740769.06,中游
688327.SH,20200630,2431228981.55,23.6664,-298317661.55,220961911.7,575385324.01,1855843657.54,中游
002415.SZ,20200630,71938322381.28,38.494,4666871541.0,24271159243.76,27691967125.13,44246355256.15,中游
603160.SH,20200630,8443663691.86,18.8139,597325017.92,3056096472.31,1588582729.74,6855080962.12,中游
300033.SZ,20200630,5839629907.03,31.831,439165195.92,991516166.7,1858814943.79,3980814963.24,中游
002405.SZ,20200630,8924595555.03,10.5851,-184153155.99,961480595.79,944675194.01,7979920361.02,中游
300624.SZ,20200630,940880515.4,18.2553,95432682.76,474618179.53,171760754.68,769119760.72,中游
300634.SZ,20200630,1763890624.64,19.2534,64168537.85,322857155.28,339608326.02,1424282298.62,中游
002777.SZ,20200630,2027976263.92,39.054,59303186.6,310721129.44,792005888.77,1235970375.15,中游
300365.SZ,20200630,2772729648.11,22.919,35166743.4,244260182.98,635482808.24,2137246839.87,中游
688088.SH,20200630,2897327616.96,10.6365,118448118.28,316071405.26,308175418.54,2589152198.42,中游
300496.SZ,20200630,3512763280.75,40.0822,177460736.13,1049562096.67,1407993043.03,2104770237.72,中游
002253.SZ,20200630,1725680112.77,16.9397,12806869.66,115246159.64,292324273.99,1433355838.78,中游
300078.SZ,20200630,4558837546.25,32.9549,47969360.82,718499781.76,1502358948.36,3056478597.89,中游
002236.SZ,20200630,29550280033.16,41.1594,1370732897.65,9838328853.62,12162703563.13,17387576470.03,中游
688023.SH,20200630,1939882072.22,24.5464,-61008904.91,320052744.85,476170259.81,1463711812.41,中游
300451.SZ,20200630,3610394566.31,25.7966,95793991.8,709200622.36,931358301.13,2679036265.18,中游
000997.SZ,20200630,12040189711.45,45.0265,251337054.45,2742072727.76,5421274131.16,6618915580.29,中游
002230.SZ,20200930,22493555730.76,44.7652,620252583.46,7284075113.64,10069274550.66,12424281180.1,中游
688111.SH,20200930,7818156186.55,16.129,596430888.6,1503171985.18,1260986834.46,6557169352.09,中游
300229.SZ,20200930,2911491408.99,32.1083,92069988.86,560914560.4,934830758.32,1976660650.67,中游
688327.SH,20200930,,,,411348700.0,,,中游
002415.SZ,20200930,79216734278.27,38.9594,8577197717.37,42021194889.62,30862399079.08,48354335199.19,中游
603160.SH,20200930,9204220288.99,19.1399,1100084597.36,5128237726.45,1761675572.62,7442544716.37,中游
300033.SZ,20200930,6099574272.14,29.6051,772099972.12,1664288490.18,1805785643.44,4293788628.7,中游
002405.SZ,20200930,8834928065.27,9.4402,-199487124.07,1529516293.09,834036056.34,8000892008.93,中游
300624.SZ,20200930,1000954147.44,18.2663,140658205.52,718629885.44,182837581.28,818116566.16,中游
300634.SZ,20200930,1741901514.19,16.6247,92457699.34,525186325.11,289586285.82,1452315228.37,中游
002777.SZ,20200930,2113570589.52,39.7895,96623650.75,498348115.5,840979750.19,1272590839.33,中游
300365.SZ,20200930,2742359800.9,20.7648,94268409.28,515074709.1,569445216.34,2172914584.56,中游
688088.SH,20200930,2956796459.36,9.7322,209828217.45,500297291.8,287761695.11,2669034764.25,中游
300496.SZ,20200930,4997734850.32,21.2284,296554804.01,1787254541.59,1060941260.59,3936793589.73,中游
002253.SZ,20200930,1745189039.1,16.7373,33041345.65,198257021.02,292097332.38,1453091706.72,中游
300078.SZ,20200930,4713652580.08,34.2845,79305135.46,1027992675.14,1616051784.69,3097600795.39,中游
002236.SZ,20200930,32555003527.46,41.9058,2818686408.8,16166204673.11,13642420683.19,18912582844.27,中游
688023.SH,20200930,2010157191.12,25.8622,-35693971.5,660209206.66,519870445.3,1490286745.82,中游
300451.SZ,20200930,4903858980.95,17.2386,172041412.88,1117806170.8,845355714.23,4058503266.72,中游
000997.SZ,20200930,11936064806.95,45.1485,477664598.11,4393871780.33,5388956193.02,6547108613.93,中游
002230.SZ,20201231,24836091818.68,47.7703,1441784003.24,13024657865.85,11864280854.58,12971810964.1,中游
688111.SH,20201231,8511586171.34,19.0418,886573819.74,2260968393.13,1620762893.45,6890823277.89,中游
300229.SZ,20201231,2826922248.09,22.885,323147123.68,1309436441.83,646940880.32,2179981367.77,中游
688327.SH,20201231,2491134467.16,39.7767,-843934337.44,754770956.3,990889865.0,1500244602.16,中游
002415.SZ,20201231,88701682384.2,38.5809,13678319472.17,63503450891.78,34221938983.66,54479743400.54,中游
603160.SH,20201231,9887854603.52,18.7173,1659172916.3,6687275485.14,1850742778.52,8037111825.0,中游
