uuid,title,host_source,display_time,importance,url,subject_importance_to_show,type_tag,company_name
f1e0b2c63a5d2a95,寒武纪被前CTO起诉，索赔43亿！市值90亿股权归谁？股权律师分配,网易-股权律师卢庆华广东,1737720686,0,https://www.163.com/dy/article/JMMMTPJR0525B1G3.html,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '经营预警--法律诉讼', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00007', 'R00007018'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
b8703d86e6c72e84,寒武纪：公司尚未实施股份回购,和讯股票,1737715185,0,https://stock.hexun.com/2025-01-24/217031771.html,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['216011', '001001', '020006', '212001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
10bc964915216533,价值70亿股权归谁？“中国版英伟达”寒武纪和前CTO互诉始末,搜狐-北京市,1737703496,0,https://www.sohu.com/a/852867402_115565,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '经营预警--法律诉讼', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00007', 'R00007018'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
21d7fb99634cb514,前CTO向寒武纪“讨薪”超42亿元，股权激励算劳动报酬吗？,银柿财经,1737681671,2,https://www.yinsfinance.com/article/1365620.shtml,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '经营预警--法律诉讼', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00007', 'R00007018'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
3f5d820cf067ddda,寒武纪为何在涨幅上超过英伟达？背后真相揭晓！,搜狐,1737680485,2,https://www.sohu.com/a/852726492_122118476,★★☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 2, 'subject_risk': '市场预警--交易异常波动', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00003', 'R00003007'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@2']}]",中科寒武纪科技股份有限公司
263d1df6115446a6,公募基金2024年四季报收官 重仓八大行业超千亿元,东方财富网,1737657610,0,https://finance.eastmoney.com/a/202501243306651333.html,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['020006', '216011', '001001', '212001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
4ea06cb2fe224a68,寒武纪股价大涨背后：前CTO与公司股权争夺战，1152万股值几何？,ITBEAR,1737630878,0,http://www.itbear.com.cn/html/2025-01/691506.html,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '市场预警--舆论预警', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00003', 'R00003034'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
329dbfc79540b5d5,寒武纪前CTO离职近三年后与公司互诉公堂，1152万股寒武纪股票到底值5万还是4亿？,搜狐-湖北省,1737629705,0,https://www.sohu.com/a/852540777_122045489,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '经营预警--法律诉讼', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00007', 'R00007018'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
a15b6d9384c3f026,市值超70亿的股权究竟归谁？寒武纪与前CTO对簿公堂,微信-国际金融报,1737626512,0,https://mp.weixin.qq.com/s/kKXaQyqFRBP90zdFjr4NmA,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '管理预警--董监高变更预警', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00006', 'R00006003'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
af318940c95236c1,用 5 万换价值 73 亿的股份？因离职让寒武纪市值蒸发 60 亿的 CTO，与老东家“开撕”了！,微信-AI前线,1737609195,2,https://mp.weixin.qq.com/s/DHnsHMA8hHDUb98eZSQ0hg,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '经营预警--法律诉讼', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00007', 'R00007018'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
