uuid,title,host_source,display_time,importance,url,subject_importance_to_show,type_tag,company_name
76c2bdc3609e7a67,稀缺！低PE+低PB的红利资产股仅33只，股息率最高超12%,微信-数据宝,1735554034,0,https://mp.weixin.qq.com/s/fZxj7WLViiNZFbeP3wwurw,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['020006', '212001', '216011', '001001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
40ceae0aa682aedb,2024年12月30日，寒武纪日内振幅超过7%,同花顺金融研究中心,1735525324,2,,★★☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 2, 'subject_risk': '市场预警--交易异常波动', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00003', 'R00003007'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@2']}]",中科寒武纪科技股份有限公司
e9695a911984a94a,基金公司自购股票型基金超26亿元 创年度历史新高,天天基金网,1735494700,0,https://fund.eastmoney.com/a/202412303281992954.html,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['020006', '212001', '216011', '001001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
2af20598ca210d20,“消失”9个月后，车企大佬想上更大“牌桌”｜一周人物,微信-中国企业家杂志,1735446717,0,https://mp.weixin.qq.com/s?__biz=MTI3NTQ1MTY0MQ==&idx=1&mid=2650636500&sn=5706b566d2bfc574882ce7b8874d97f5,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['020006', '001001', '212001', '216011'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
8bd91fd739891068,字节研发投入堪比BAT之和，国内巨头加力AII in AI !,微信-财经早餐,1735425356,0,https://mp.weixin.qq.com/s?__biz=MjM5ODUxMjExMA==&idx=2&mid=2650593467&sn=5884726c47a3c636bd2104e8cf75a00e,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['216011', '020006', '001001', '212001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
70e1752ca3d69246,寒武纪(688256)：自主可控加强 寒武纪或迎来营收快速放量周期,新浪财经,1735401600,0,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/company/rptid/788815342658/index.phtml,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['216011', '001001', '020006', '212001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
b2e7c477a66eb6f5,“硝烟”弥漫8小时 基金决战2024最后一刻,上海证券报,1735401600,0,http://paper.cnstock.com/html/2024-12/29/content_2012249.htm,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['001001', '020006', '212001', '216011'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
c200c790b3b1d8a4,股价大涨VS连亏烦恼 寒武纪的时间玫瑰,微信-铑财,1735312098,2,https://mp.weixin.qq.com/s?__biz=MzU2NDY0NjkwNg==&idx=1&mid=2247509221&sn=eb4346e5c8e5f4e01130c862b755dfeb,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '财务预警--盈利能力下降或亏损', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00008', 'R00008015'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
e680f563b9818c99,寒武纪(688256)：大额授信额度申请反映公司对下游需求信心充足,新浪财经,1735281838,0,http://stock.finance.sina.com.cn/stock/go.php/vReport_Show/kind/company/rptid/788623448307/index.phtml,☆☆☆☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': None, 'subject_risk': None, 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEU', 'subject_risk_list': [], 'org_types': ['216011', '001001', '020006', '212001'], 'subject_importance_list': None}]",中科寒武纪科技股份有限公司
81fb7a990fbbd010,连亏7年的“AI芯片第一股”，将老板推上江西首富王座,网易,1735168357,2,https://www.163.com/dy/article/JKAL28AJ05563XYK.html,★★★☆☆,"[{'full_name': '中科寒武纪科技股份有限公司', 'subject_importance': 3, 'subject_risk': '财务预警--盈利能力下降或亏损', 'orgid': 'T004646002', 'subject_code': None, 'subject_name': None, 'emotion': 'NEG', 'subject_risk_list': ['R00008', 'R00008015'], 'org_types': ['216011', '020006', '212001', '001001'], 'subject_importance_list': ['stock@3']}]",中科寒武纪科技股份有限公司
