thscode,report_date,资产总计,资产负债率,净利润,营业收入,负债合计,所有者权益合计,Layer
688256.SH,20191231,4668472281.56,6.683,-1179125331.43,443938465.82,311992772.79,4356479508.77,上游
688041.SH,20191231,5694925479.85,49.9416,-137359291.25,379165118.93,2844134661.15,2850790818.7,上游
603019.SH,20191231,16769281027.02,72.442,638394802.42,9526470351.47,12148004027.78,4621276999.24,上游
002049.SZ,20191231,6786465319.76,38.2188,400546989.29,3430409964.8,2593708995.01,4192756324.75,上游
688008.SH,20191231,7780753456.61,5.7967,932858391.73,1737734714.98,451029105.94,7329724350.67,上游
300474.SZ,20191231,2597740933.18,9.2148,175966098.05,530787249.45,239377197.09,2358363736.09,上游
300308.SZ,20191231,10491166090.97,33.9805,513487200.53,4757677023.35,3564949613.86,6926216477.11,上游
300502.SZ,20191231,1665182568.13,20.2494,212856556.51,1164873682.36,337188739.71,1327993828.42,上游
300394.SZ,20191231,1344719334.53,12.8818,167278396.82,522930856.11,173223754.73,1171495579.8,上游
002281.SZ,20191231,7232506900.35,37.3282,327735769.25,5337915720.69,2699761147.47,4532745752.88,上游
000988.SZ,20191231,9611537305.35,34.973,495482661.91,5460245491.93,3361441158.1,6250096147.25,上游
000977.SZ,20191231,29409085017.16,64.9489,955389613.89,51653280173.6,19100867376.04,10308217641.12,上游
002463.SZ,20191231,8236218053.0,37.6648,1205980495.0,7128544582.0,3102157357.0,5134060696.0,上游
300476.SZ,20191231,6992319500.2,52.437,462745831.24,3884618905.81,3666562043.57,3325757456.63,上游
600183.SH,20191231,15534907870.03,39.7897,1563393933.92,13241085241.08,6181290811.2,9353617058.83,上游
688981.SH,20191231,114817063254.66,37.9369,1268528679.49,22017882940.2,43558038614.43,71259024640.23,上游
002371.SZ,20191231,13734762794.66,55.5856,369653491.9,4058312881.7,7634555817.19,6100206977.47,上游
688012.SH,20191231,4774054304.04,21.425,188582806.72,1946949250.75,1022841198.51,3751213105.53,上游
300223.SZ,20191231,1309468574.98,5.6591,58659727.2,339351160.33,74104765.67,1235363809.31,上游
603986.SH,20191231,6173524466.5,15.3475,605274383.25,3202917103.2,947479167.64,5226045298.86,上游
002230.SZ,20191231,20100836085.61,41.6202,943070469.56,10078688919.69,8366000082.72,11734836002.89,中游
688111.SH,20191231,6843993486.59,11.3298,400579204.93,1579520610.25,775413228.15,6068580258.44,中游
300229.SZ,20191231,2889279680.67,26.6144,161565602.97,967305988.93,768965042.72,2120314637.95,中游
688327.SH,20191231,2364310482.77,34.2693,-692099470.27,807347204.5,810233364.75,1554077118.02,中游
002415.SZ,20191231,75358000240.29,39.6576,12465184302.65,57658110065.22,29885141355.15,45472858885.14,中游
603160.SH,20191231,7848782537.7,17.9564,2317357060.66,6473254534.5,1409358144.96,6439424392.74,中游
300033.SZ,20191231,5235969278.51,23.7954,897675406.14,1742093893.2,1245917501.47,3990051777.04,中游
002405.SZ,20191231,9055622455.51,11.7525,306475244.64,2309742643.97,1064257822.8,7991364632.71,中游
300624.SZ,20191231,902960094.43,22.4371,80175081.33,703474142.6,202597940.87,700362153.56,中游
300634.SZ,20191231,1716278369.24,18.0621,139471142.4,732082880.63,309996503.21,1406281866.03,中游
002777.SZ,20191231,2045383667.36,38.9337,181333250.19,1016378796.96,796342662.38,1249041004.98,中游
