事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游 vs 下游,21,15,0.03702442508651364,-0.03472780957070283,0.07175223465721647,4.370685354582582,0.00016455856714678448,0.0013983709573160573,0.008886162625926362
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",中游 vs 下游,24,15,0.0038797265861070748,-0.03472780957070283,0.0386075361568099,2.1547337348597413,0.03865700891627968,0.05798551337441952,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游 vs 中游,21,24,0.03702442508651364,0.0038797265861070748,0.03314469850040657,2.1667601048574623,0.03596865699634782,0.05549449936579378,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游 vs 下游,21,15,0.035700946168035236,-0.02015649646867919,0.055857442636714424,2.436646987194707,0.021338646178866848,0.038409563121960325,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",中游 vs 下游,24,15,0.014577483458271034,-0.02015649646867919,0.03473397992695022,1.6129098070590497,0.11617680919473403,0.14258062946626449,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游 vs 中游,21,24,0.035700946168035236,0.014577483458271034,0.0211234627097642,0.753356425411028,0.45543131706197204,0.45543131706197204,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游 vs 下游,21,15,-0.030372803645611023,0.021988259014945905,-0.05236106266055693,-1.8166816182667196,0.07810329785942545,0.10814302780535832,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",中游 vs 下游,24,15,0.11120030881410527,0.021988259014945905,0.08921204979915937,2.4452410598333,0.01974197959292011,0.038409563121960325,1.0
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游 vs 中游,21,24,-0.030372803645611023,0.11120030881410527,-0.1415731124597163,-3.644871636365781,0.0007580740224302736,0.003411333100936231,0.040935997211234774
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游 vs 下游,21,15,0.027690768522327023,-0.04505800958170589,0.07274877810403291,4.487928535047146,0.0001168167038431621,0.0013810425315033304,0.006308102007530753
