事件,事件日期,基准指数,事件窗口,样本数,梯度斜率,HC1标准误,原始p值,p_BH全局,p_Bonferroni全局
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",60,0.03569093639110304,0.007981509739041145,7.759936104307058e-06,2.3279808312921173e-05,0.00013967884987752704
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",60,0.027467347853367872,0.011926792148347578,0.02127910002869109,0.02553492003442931,0.38302380051643964
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",60,-0.03400375716956239,0.016793155149072703,0.04288193135234259,0.04288193135234259,0.7718747643421666
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",60,0.03617548595839326,0.007891854113504446,4.563781683368521e-06,1.963861915898224e-05,8.214807030063338e-05
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",60,0.02796845238793217,0.011948622005152159,0.019246276574793417,0.024745212739020108,0.3464329783462815
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",60,-0.035725372804913315,0.01683855232113711,0.033867847628520686,0.03810132858208577,0.6096212573133724
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",60,0.0372527938601223,0.007834744616711402,1.9862412379577674e-06,1.5044701387587638e-05,3.5752342283239816e-05
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",60,0.02833389302782287,0.01189808973036761,0.01724783017686638,0.02388161101412268,0.31046094318359485
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",60,-0.03436609891469215,0.016806952552045912,0.04087902619011966,0.04288193135234259,0.735822471422154
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",60,0.019481102957102293,0.006709887688302137,0.003692024720012669,0.006325199907388907,0.06645644496022804
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",60,0.044426900215402035,0.011656782272376778,0.00013826638329183678,0.00031109936240663276,0.002488794899253062
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",60,0.06579095210583054,0.014470759225191698,5.455171988606178e-06,1.963861915898224e-05,9.81930957949112e-05
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",60,0.019205202563825744,0.006711653597579943,0.004216799938259272,0.006325199907388907,0.07590239888866689
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",60,0.04547156271117497,0.011697613531455113,0.00010138580223413392,0.00026070634860205866,0.0018249444402144105
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",60,0.07044372373175517,0.014510781628996628,1.2064327389569924e-06,1.5044701387587638e-05,2.1715789301225864e-05
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",60,0.019184562971743903,0.006701930782075237,0.004202566419048252,0.006325199907388907,0.07564619554286854
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",60,0.04354169559886269,0.011737240745335054,0.00020750123906894738,0.00041500247813789476,0.003735022303241053
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",60,0.0684205502086758,0.014534299782766009,2.5074502312646064e-06,1.5044701387587638e-05,4.513410416276291e-05
