事件时间,系数,标准误,p值,95%CI下限,95%CI上限
-12,-0.03990954209528295,0.052903210432156386,0.45081171512006724,-0.1437361747483905,0.0639170905578246
-11,0.010697737463423642,0.06791522579588719,0.8748731484592687,-0.12259113371586389,0.14398660864271118
-10,-0.06468400371263365,0.05168522267385406,0.2110744504628954,-0.16612024140626308,0.03675223398099578
-9,0.012019964426702993,0.04972824773175474,0.8090570645365358,-0.0855755589366449,0.1096154877900509
-8,-0.058312392854120265,0.056865121774811817,0.3054232644723591,-0.16991458223087103,0.05328979652263051
-7,0.06120357351499052,0.054704430332049796,0.26351903134285926,-0.04615809217951497,0.168565239209496
-6,-0.08409033121745238,0.051653593755744846,0.10387846949039359,-0.18546449471870455,0.017283832283799788
-5,-0.15096141403192131,0.037625854725497704,6.511031600231476e-05,-0.22480505726134803,-0.07711777080249461
-4,-0.18308441484497726,0.053346986792222946,0.0006262700459847004,-0.287781992847911,-0.07838683684204349
-3,-0.1022151258223032,0.059864904145406,0.0880836563019527,-0.219704619574095,0.015274367929488608
-2,-0.2520317558601663,0.09807697147801497,0.010336014115715386,-0.44451538031687016,-0.059548131403462434
0,-0.14982869078209338,0.06288152432856726,0.017390202641493824,-0.2732385344153483,-0.026418847148838465
1,-0.1982153304686463,0.07364946555051059,0.007247389309560592,-0.34275808963856225,-0.053672571298730404
2,-0.13921899955753325,0.06562104954337361,0.03414472838992677,-0.26800537281532555,-0.010432626299740955
3,-0.11423767461598462,0.04205003128313799,0.006718731605079187,-0.19676410572331676,-0.03171124350865248
4,-0.07940066687096417,0.05819397708521752,0.1727750416046343,-0.19361083733308893,0.0348095035911606
5,0.016356861028559874,0.06458294399899167,0.8001175766331148,-0.11039214999485686,0.1431058720519766
6,-0.03327775957189006,0.06815033814006057,0.6254556546120735,-0.1670280568686342,0.1004725377248541
7,0.06689917032784354,0.12116835352685358,0.5810035581970423,-0.17090307320419806,0.30470141385988514
8,0.06596159519899969,0.06100212634312018,0.2798504962876376,-0.05375978486748845,0.18568297526548783
9,-0.13731095216834652,0.05104939157771281,0.007281243790570491,-0.2374993222730488,-0.037122582063644244
10,-0.19654600870450648,0.06113722757779934,0.001351231913282902,-0.3165325353688935,-0.07655948204011948
11,-0.009981464221657221,0.055758334040317464,0.8579674197168492,-0.11941149726620057,0.09944856882288614
12,-0.2631298690502945,0.09481283318329756,0.005629029548981812,-0.4492073702323215,-0.07705236786826752
