检验,系数,标准误,t值,p值,95%CI下限,95%CI上限,观测值,公司数,伪事件前月份数,伪事件后月份数
滚动伪事件：2023-04,0.014143215875620061,0.03186119021504364,0.44390105266507507,0.6572216625036,-0.04838832218340185,0.07667475393464197,960,40,3,21
滚动伪事件：2023-05,-0.024256364984778754,0.031743802828241824,-0.7641291472236071,0.44499213566773177,-0.0865575157357339,0.0380447857661764,960,40,4,20
滚动伪事件：2023-06,-0.028727919208369687,0.02717456862817064,-1.0571619222904152,0.29072358835811296,-0.08206138104519792,0.02460554262845855,960,40,5,19
滚动伪事件：2023-07,-0.020047005360414222,0.022094698403495577,-0.9073219735483065,0.36448132638705744,-0.06341059174233313,0.023316581021504686,960,40,6,18
滚动伪事件：2023-08,-0.004624542805741116,0.017410124933576444,-0.26562375763441043,0.7905902951132524,-0.0387940726490496,0.029544987037567368,960,40,7,17
滚动伪事件：2023-09,0.012792570426595274,0.01619365153389978,0.7899744168148436,0.4297524242260702,-0.018989479470852527,0.04457462032404308,960,40,8,16
滚动伪事件：2023-10,0.006206025594597164,0.0150752975601885,0.41166853057589425,0.680681179883539,-0.023381115901796434,0.03579316709099076,960,40,9,15
滚动伪事件：2023-11,0.02085888687266688,0.01681516700947005,1.240480505541186,0.21512353511189497,-0.012142964242267868,0.05386073798760163,960,40,10,14
滚动伪事件：2023-12,0.03184569533517295,0.016207290564944504,1.964899389417592,0.04973555527306606,3.687714742886539e-05,0.06365451352291704,960,40,11,13
滚动伪事件：2024-01,0.043604950621732246,0.012528746329344793,3.4803921697736713,0.0005249216643274934,0.019015731806066544,0.06819416943739795,960,40,12,12
滚动伪事件：2024-02,0.03851256764311749,0.012936256672434598,2.9771029300294054,0.0029884377070756862,0.013123559228997505,0.06390157605723747,960,40,13,11
滚动伪事件：2024-03,0.02266547584350085,0.01395835851365025,1.6237923550491757,0.10477303832526808,-0.0047295342219320635,0.05006048590893376,960,40,14,10
滚动伪事件：2024-04,0.023128388241010735,0.016695390594661175,1.3853157917974495,0.1663018503821998,-0.009638386802043378,0.05589516328406485,960,40,15,9
滚动伪事件：2024-05,0.0012470010796354085,0.015803224118057742,0.07890801714382496,0.937123464334964,-0.02976878658315537,0.032262788742426184,960,40,16,8
滚动伪事件：2024-06,-0.00459912991136691,0.01275742715049449,-0.3605060689050177,0.7185539734377882,-0.029637163205543174,0.020438903382809355,960,40,17,7
滚动伪事件：2024-07,-0.04770822067525824,0.018036471951978047,-2.645097156599194,0.008310204856181835,-0.08310703423819506,-0.012309407112321424,960,40,18,6
滚动伪事件：2024-08,-0.055071573012486934,0.01722314067078866,-3.1975337172906673,0.0014348562357278105,-0.0888741230453729,-0.021269022979600975,960,40,19,5
滚动伪事件：2024-09,-0.04105277293930919,0.01872928577836113,-2.191902746592691,0.028644067431926823,-0.07781131957749801,-0.00429422630112037,960,40,20,4
