检验,系数,标准误,t值,p值,95%CI下限,95%CI上限,观测值,伪事件前月份数,伪事件后月份数
滚动伪事件：2023-04,0.014809990653657866,0.03190161562613247,0.46423951774800215,0.6425893028262819,-0.04780088728924758,0.0774208685965633,960,3,21
滚动伪事件：2023-05,-0.024466117146586454,0.03194542388662979,-0.7658723588521963,0.44395463666464385,-0.08716297423496946,0.038230739941796564,960,4,20
滚动伪事件：2023-06,-0.028319309849961692,0.0272881018806961,-1.037789655497991,0.2996489136303446,-0.08187559477824835,0.02523697507832496,960,5,19
滚动伪事件：2023-07,-0.019713165677814275,0.022171605668006796,-0.8891176387039932,0.37417930015616774,-0.06322769210639623,0.02380136075076767,960,6,18
滚动伪事件：2023-08,-0.004259951008672412,0.01748508910936453,-0.2436333599461555,0.8075707462293833,-0.03857660734599186,0.030056705328647033,960,7,17
滚动伪事件：2023-09,0.012800059724779314,0.01628989977896542,0.7857666344459396,0.43221265355917193,-0.019170889292846188,0.04477100874240482,960,8,16
滚动伪事件：2023-10,0.006322700207335946,0.01516701553826304,0.416871743250026,0.6768724098804055,-0.023444449198302575,0.03608984961297446,960,9,15
滚动伪事件：2023-11,0.02072324054993015,0.016864381123501294,1.228817138213946,0.21946409245286325,-0.012375199368618497,0.053821680468478794,960,10,14
滚动伪事件：2023-12,0.03175902983597306,0.016268806675654845,1.9521425553294132,0.05123347455197935,-0.000170521349884524,0.06368858102183064,960,11,13
滚动伪事件：2024-01,0.043417444668092386,0.012517906168923386,3.468427074160322,0.0005485323401086539,0.018849501011935228,0.06798538832424955,960,12,12
滚动伪事件：2024-02,0.03887598524882487,0.013000132583668663,2.9904299051274745,0.0028623240311966835,0.013361612435339114,0.06439035806231064,960,13,11
滚动伪事件：2024-03,0.020328312291465152,0.013954622429262925,1.4567439853361106,0.14553857779212742,-0.007059365244910281,0.04771598982784059,960,14,10
滚动伪事件：2024-04,0.020407119152864767,0.0167551768400947,1.2179590432033558,0.22356124375143116,-0.012476993813113745,0.053291232118843276,960,15,9
滚动伪事件：2024-05,-0.002327121783773584,0.01594410866473445,-0.1459549625951036,0.883989881537361,-0.033619412845620776,0.02896516927807361,960,16,8
滚动伪事件：2024-06,-0.00853014983073923,0.012880883593603046,-0.6622332830470967,0.5079925891580821,-0.03381048170882807,0.016750182047349606,960,17,7
滚动伪事件：2024-07,-0.05037045649098476,0.018222863851808793,-2.7641350393991453,0.005824907587074657,-0.08613508727856048,-0.014605825703409035,960,18,6
滚动伪事件：2024-08,-0.0579565274725968,0.017682443557093166,-3.277631130870938,0.0010872305671199012,-0.09266051639466802,-0.023252538550525594,960,19,5
滚动伪事件：2024-09,-0.044743627362551365,0.019306878339163596,-2.3174967271529265,0.020701970993168395,-0.0826357710495213,-0.00685148367558143,960,20,4
