事件时间,系数,标准误,p值,95%CI下限,95%CI上限
-12,-0.041668695300401744,0.052507880597237634,0.42765271736386756,-0.14471946264757365,0.061382072046770174
-11,0.02393233027075466,0.07082656549567184,0.735516207046649,-0.11507026971759242,0.16293493025910175
-10,-0.06294017727834826,0.051998435132062,0.22643070610027616,-0.16499111858968035,0.039110764032983844
-9,0.015063208066304238,0.050284689629623444,0.7645823958554989,-0.08362437545843786,0.11375079159104633
-8,-0.05784670756159654,0.05703620712375556,0.3107522994563534,-0.16978466513713916,0.05409125001394608
-7,0.055682209493099294,0.05409703755082168,0.3036114044230658,-0.05048740099988691,0.1618518199860855
-6,-0.08456353747846948,0.051784535689900726,0.10281777943645087,-0.18619468462939873,0.017067609672459766
-5,-0.15040610719986283,0.03775969172503988,7.341533677740486e-05,-0.22451241586817966,-0.07629979853154599
-4,-0.19723911153237056,0.05643055330272439,0.0004964995369223235,-0.3079884267499641,-0.08648979631477702
-3,-0.0980222382148764,0.05979556887733101,0.10149903237015212,-0.2153756561529412,0.019331179723188388
-2,-0.25539651794877377,0.09922440495981617,0.010212472674355322,-0.45013206915312987,-0.06066096674441765
0,-0.14696010191123388,0.06187919590263231,0.01775788817455415,-0.2684027986657417,-0.025517405156726042
1,-0.1995783016260321,0.07465955195716756,0.007648299105665446,-0.34610343331049254,-0.05305316994157169
2,-0.1392730501015184,0.06591757639009688,0.03488686572655619,-0.2686413801769598,-0.009904720026076952
3,-0.11123868394313002,0.042348786932047015,0.008766146950387688,-0.19435144606438232,-0.028125921821877717
4,-0.0797742703213405,0.05878447127017441,0.1750978481483978,-0.1951433311858528,0.035594790543171814
5,0.01780104762609865,0.06597407368612271,0.7873608728557371,-0.11167816275230456,0.14728025800450187
6,-0.03267910641471067,0.06974721553210973,0.6395134096944841,-0.1695633988134905,0.10420518598406917
7,0.08276397521509866,0.1251567674561438,0.5085987602846203,-0.1628658384118808,0.32839378884207815
8,0.06333386272539347,0.06148579562715757,0.30325732999369515,-0.05733675563247853,0.18400448108326548
9,-0.14359235709952153,0.05158872557814847,0.005490723930038577,-0.24483921179680587,-0.042345502402237195
10,-0.1998387845447298,0.061315087088380224,0.0011587012361267135,-0.3201743742228374,-0.07950319486662222
11,-0.012708161379858878,0.05634627845378116,0.8216123682258831,-0.1232920807034859,0.09787575794376815
12,-0.268313601782457,0.0970618182197476,0.005818887646225734,-0.45880490963735654,-0.07782229392755743
