Stkcd,date,面板修正超额收益,日度数据重算值,绝对误差,通过
300496,2024-11,-0.0652433061456618,-0.06524330614566187,6.938893903907228e-17,是
002371,2020-10,0.0730522480388793,0.07305224803887933,2.7755575615628914e-17,是
002131,2020-08,-0.1663318647171218,-0.1663318647171218,0.0,是
300502,2020-11,-0.1019435202211908,-0.1019435202211908,0.0,是
002777,2024-09,0.1695976838703476,0.16959768387034768,8.326672684688674e-17,是
002607,2024-12,0.0649473177695758,0.06494731776957585,5.551115123125783e-17,是
300496,2025-01,0.0734994806088377,0.07349948060883771,1.3877787807814457e-17,是
300168,2020-02,0.3279575175456819,0.3279575175456819,0.0,是
300365,2021-03,0.0338473360511796,0.03384733605117962,2.0816681711721685e-17,是
300451,2025-04,-0.054659104948892,-0.054659104948892034,3.469446951953614e-17,是
