事件,事件日期,基准指数,Stkcd,Layer,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]"
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,000977,上游,0.0013044323636749312,1.4837285302299892,221,-0.014508615439997975,3,0.006680724653337963,7,0.05835077577802766,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,000988,上游,0.00029794589944433665,1.6117767323475012,221,0.0714689703997447,3,0.0699324325584911,7,0.1287134119019431,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,000997,中游,-8.739710217222916e-05,1.5325328095928394,221,-0.02861395812690043,3,-0.029360614612668916,7,-0.01617419028250424,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002049,上游,-0.00017911744624290682,1.4892355820315073,221,0.00018839309789740223,3,-0.05802713175800703,7,-0.02312996536191011,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002065,下游,0.0005758654670314405,1.335419839590877,221,-0.01277871611862615,3,-0.0823409677267363,7,-0.09806300024020224,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002131,下游,-0.0011669764931971605,1.3446141191672445,221,-0.0360056856350462,3,-0.28365224132762407,7,-0.17962645778551947,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002230,中游,-0.00015967048257649064,1.3264885784889722,221,-0.008146580015258831,3,-0.05989916638690048,7,-0.05628412748775694,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002236,中游,-0.0008893295685059349,1.4058780536057083,221,0.009214298291253434,3,-0.03283284319202449,7,-0.02231112717518787,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002253,中游,0.0006783705787639262,1.401755825063782,221,0.003866200426638086,3,-0.16214210077261668,7,-0.1551017234234576,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002281,上游,0.001527473325008669,1.8294446085990994,221,-0.010642639594511158,3,-0.09342104795378504,7,0.1024526333210024,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002368,下游,-0.0009905820560116268,1.7239262267049633,221,-0.013932126833380406,3,-0.052257115200890936,7,-0.042455881274143556,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002371,上游,0.002712521730790985,1.1094934039366071,221,-0.0008730078071378655,3,-0.07004129978356781,7,-0.02337311660695005,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002405,中游,-2.3809018573363888e-05,1.448190632303632,221,-0.01762511418750732,3,-0.08749155447307258,7,-0.09711255255083154,11
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,002415,中游,-0.0006696855806167278,1.034066377127442,221,0.010616961824325066,3,0.003957773002577127,7,-0.011020963884024218,11
