事件,事件日期,基准指数,事件窗口,比较组A,比较组B,比较名称,A组公司数,B组公司数,A组平均CAR,B组平均CAR,A减B差异,差异标准误,Welch_t值,Welch_p值
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.018891403920266617,-0.022813726491695337,0.04170513041196196,0.01187915722692906,3.5107819195641174,0.0012151101108117054
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.018891403920266617,-0.003880380697106342,0.022771784617372958,0.010581486973171985,2.152040131515346,0.03971927517877296
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.003880380697106342,-0.022813726491695337,0.018933345794588996,0.008988977870555255,2.1062846151405057,0.0427226234625099
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,-0.03417152376544376,-0.12162380359120015,0.08745227982575639,0.020724271596526074,4.219799929683206,0.00015699729327749604
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,-0.03417152376544376,-0.0816902901201956,0.04751876635475184,0.01838191692057577,2.5850822066093544,0.013699519313136564
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.0816902901201956,-0.12162380359120015,0.039933513471004545,0.02085537965484678,1.9147823790263159,0.06340775325253431
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,0.03283403442877546,-0.08624033481667981,0.11907436924545527,0.025272225719648607,4.711669267534182,3.6183563558977976e-05
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,0.03283403442877546,-0.05322492107332758,0.08605895550210305,0.0214340009863964,4.015067254905998,0.0002712296906733092
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,-0.05322492107332758,-0.08624033481667981,0.03301541374335223,0.024715963772617772,1.3357930949845953,0.19024174502691601
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.037139106402109136,-0.023641782371241496,0.06078088877335063,0.016785102134722535,3.6211211755224375,0.0009156308696194663
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.037139106402109136,0.003988137035273063,0.03315096936683607,0.015725183026359963,2.108145215942189,0.04189942682350371
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,0.003988137035273063,-0.023641782371241496,0.02762991940651456,0.018093608210580075,1.5270541444772867,0.13512038226650144
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.03624748910650417,0.009488113252808957,0.02675937585369521,0.028138160117174113,0.9509994876090935,0.34781413408725487
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,0.03624748910650417,-0.005874001084460269,0.042121490190964436,0.027415109705063747,1.5364333991041565,0.13321679088696856
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.005874001084460269,0.009488113252808957,-0.015362114337269226,0.024633406013981562,-0.6236293238762806,0.5366130254075553
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,-0.032534281589012705,0.07952091809399409,-0.11205519968300678,0.03927179328508603,-2.853325257381643,0.007203533345987473
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,-0.032534281589012705,0.07105348450526286,-0.10358776609427556,0.037463208871336987,-2.7650532139421276,0.008885737105733267
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,0.07105348450526286,0.07952091809399409,-0.008467433588731227,0.04291413772355571,-0.1973110503414222,0.8446417154903877
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.02410721343078228,-0.01742296866729243,0.041530182098074714,0.011861360374966597,3.5013000857577996,0.0012530792308551883
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.02410721343078228,0.0016325950109262043,0.022474618419856075,0.01062922300583973,2.114417809044786,0.04303351659534475
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,0.0016325950109262043,-0.01742296866729243,0.019055563678218635,0.008956978557915439,2.1274544261779993,0.04072798996212678
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,-0.04269131955242908,-0.13190991099860414,0.08921859144617506,0.02086200762625694,4.276606213770359,0.000132539221544785
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",上游,中游,上游 vs 中游,20,20,-0.04269131955242908,-0.09168573336772101,0.04899441381529193,0.018575376489839545,2.637600042297455,0.01203368441580158
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",中游,下游,中游 vs 下游,20,20,-0.09168573336772101,-0.13190991099860414,0.04022417763088312,0.021047097511314995,1.911150818266436,0.06386540618153555
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游,下游,上游 vs 下游,20,20,0.01857184553438026,-0.11052892111018178,0.12910076664456205,0.025071345971518524,5.149335292617425,9.468381861583129e-06
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",上游,中游,上游 vs 中游,20,20,0.01857184553438026,-0.07448019847855528,0.09305204401293554,0.02151920005671109,4.3241404776993955,0.00010702226092995903
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",中游,下游,中游 vs 下游,20,20,-0.07448019847855528,-0.11052892111018178,0.036048722631626506,0.024670202943610917,1.4612252162669137,0.1527779453104507
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,下游,上游 vs 下游,20,20,0.027664643178461124,-0.03336768103770201,0.061032324216163135,0.016672339217266956,3.6606935248146883,0.0008149486559301871
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游,中游,上游 vs 中游,20,20,0.027664643178461124,-0.005914922257091699,0.03357956543555282,0.015617163142797773,2.15017062500489,0.03816353764202588
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游,下游,中游 vs 下游,20,20,-0.005914922257091699,-0.03336768103770201,0.027452758780610313,0.017889346497152604,1.5345870116037994,0.13326362412202045
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游,下游,上游 vs 下游,20,20,0.03875817661990112,0.010623090167520107,0.028135086452381015,0.02812623888632079,1.0003145662701647,0.3236988455992367
