事件,事件日期,基准指数,事件窗口,公司数,产业链梯度斜率,标准误,t值,p值,R平方,p_BH全局,p_Bonferroni全局,p_BH事件内,原始p小于0.05,BH全局通过5%,BH事件内通过5%,Bonferroni通过5%,是否主规格
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",60,0.0208525652059809,0.0052311676026192,3.986216231255949,0.0001901865642995,0.2150485462189623,0.0004237777924642,0.003423358157391,0.0002118888962321,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",60,0.0437261399128782,0.0099272319631103,4.404665880213629,4.624448703879469e-05,0.2506564654684813,0.0001588513974052958,0.0008324007666983044,7.94256987026479e-05,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",60,0.0595371846227276,0.0120000906804822,4.961394560089681,6.460092826262572e-06,0.2979520193609108,3.876055695757543e-05,0.0001162816708727263,1.9380278478787716e-05,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",60,0.0303904443866753,0.0083773490865426,3.6276922535667406,0.0006050554884634,0.1849370874799686,0.0009075832326951001,0.0108909987923412,0.0018151664653902001,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",60,0.0133796879268476,0.0134475811307955,0.9949512701736034,0.3238928757338935,0.0167813059462674,0.3238928757338935,1.0,0.3238928757338935,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",60,-0.0560275998415034,0.0201263626548464,-2.783791627048517,0.0072419984834774,0.1178639581314497,0.00869039818017288,0.1303559727025932,0.0108629977252161,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",60,0.0207650910490373,0.0052308728994647,3.9697181422936554,0.0002008232931745,0.2136516806885644,0.0004237777924642,0.003614819277141,0.0002118888962321,True,True,True,True,是
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",60,0.0446092957230875,0.0100145059612718,4.454467938368682,3.8924078999884185e-05,0.2549036775109948,0.0001588513974052958,0.0007006334219979153,7.94256987026479e-05,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",60,0.064550383322281,0.0119964442301288,5.380793015330652,1.3926260294988697e-06,0.3329724750752043,2.5067268530979654e-05,2.5067268530979654e-05,1.2533634265489827e-05,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",60,0.0305161621080815,0.0083067403932422,3.6736626719317536,0.0005232223079177,0.1887635065669022,0.0008561819584107819,0.0094180015425186,0.0018151664653902001,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",60,0.0140675432261905,0.0134754828201983,1.0439361182001337,0.3008465827918992,0.0184431588968365,0.3199365817763876,1.0,0.3238928757338935,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",60,-0.0576619111136356,0.0202146223833407,-2.8524851971093907,0.006002257320371,0.1230281412461647,0.008310817828206,0.108040631766678,0.0108629977252161,True,True,True,False,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",60,0.0206516671032053,0.0052237400557001,3.953425492654477,0.0002118888962321,0.2122730373464231,0.0004237777924642,0.0038140001321778,0.0002118888962321,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",60,0.0431778572240974,0.0098910033035133,4.365366778187261,5.295046580176526e-05,0.2473048365111338,0.0001588513974052958,0.0009531083844317748,7.94256987026479e-05,True,True,True,True,否
DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",60,0.0616396098168421,0.0120401036890662,5.119524832067496,3.638700475537264e-06,0.3112418879864465,3.2748304279835376e-05,6.549660855967075e-05,1.6374152139917688e-05,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",60,0.0313907196169133,0.0082417885971399,3.808726618856303,0.0003395799332338,0.2000705974349377,0.00061124387982084,0.0061124387982084,0.0018151664653902001,True,True,True,True,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",60,0.0139744363554711,0.013423118382136,1.0410722723021455,0.302162327233255,0.0183439605908723,0.3199365817763876,1.0,0.3238928757338935,False,False,False,False,否
DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",60,-0.0563744390062197,0.0200756792042549,-2.808096225918549,0.00677864761056,0.1196836307548,0.00869039818017288,0.12201565699007999,0.0108629977252161,True,True,True,False,否
