股票代码,原始Layer,证券简称,公司全称,交易所,东方财富行业,证监会行业,公司简介,经营范围,公司官网,基础信息来源URL,抓取日期,抓取状态,抓取错误,原始Layer来源,是否属于事件前分类证据
000977,上游,浪潮信息,浪潮电子信息产业股份有限公司,深圳证券交易所,信息技术-计算机硬件-PC、服务器及硬件,制造业-计算机、通信和其他电子设备制造业,"    浪潮电子信息产业股份有限公司(股票代码SZ000977)是全球领先的IT基础设施产品、方案和服务提供商,为客户提供云计算、大数据、人工智能等各类创新IT产品和解决方案。浪潮信息秉承“计算力是生产力、智算力是创新力”的理念,推动世界智能进化,让人们生活更美好,企业经营更高效,社会治理更完善,人与自然更和谐。浪潮信息坚持“以应用为导向,以系统为核心”,全面推进算法、算力、数据和互连技术的创新,加速“人工智能+”的落地。算法方面,积极探索各类大模型算法,持续提升模型算力效率,探索智能边界;算力方面,发展新一代以系统为核心的计算架构,打造开放、多元、绿色的元脑智算产品和方案,为人工智能的创新和应用,提供强大算力平台;数据方面,持续发展高吞吐、低延迟的新一代融合存储技术,为AI全流程海量数据管理提供存储平台支撑;互连方面,创新端网协同的新一代超级AI以太网,为大规模AI系统提供高效的互连方案。浪潮信息的业务遍及全球主要国家和地区,拥有8个研发中心、11个生产基地、50个业务分支机构,服务器出货量全球第二,存储装机容量全球第三。浪潮信息一直致力于建设开放融合的全球计算生态。通过深化产业链上下游的开放合作,推动开放标准的制定和普及,让更多组织、个人参与到人工智能的技术创新和应用中,共同加速行业智能化转型、开创全新发展局面。","一般项目:计算机软硬件及外围设备制造;计算机软硬件及辅助设备批发;计算机软硬件及辅助设备零售;互联网设备销售;互联网设备制造;软件开发;软件销售;通信设备制造;通信设备销售;通用设备制造(不含特种设备制造);电子专用材料制造;电子专用材料研发;电子专用材料销售;制冷、空调设备制造;制冷、空调设备销售;钟表与计时仪器制造;钟表与计时仪器销售;计算器设备销售;玩具制造;玩具销售;教学用模型及教具制造;教学用模型及教具销售;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;计算机及通讯设备租赁;计算机及办公设备维修;非居住房地产租赁;工程和技术研究和试验发展;工程管理服务;信息系统集成服务;变压器、整流器和电感器制造;配电开关控制设备制造;配电开关控制设备销售;电池制造;电池销售;锻件及粉末冶金制品制造;锻件及粉末冶金制品销售;金属结构制造;金属结构销售;玻璃制造;金属材料制造;金属材料销售;喷涂加工;云计算设备制造;云计算设备销售;信息技术咨询服务;网络技术服务;智能控制系统集成;信息安全设备制造;信息安全设备销售;网络与信息安全软件开发;数字视频监控系统制造;数字视频监控系统销售(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)许可项目:进出口代理;技术进出口;货物进出口;各类工程建设活动;建设工程设计;建筑智能化系统设计;建筑智能化工程施工(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准)。",www.ieisystem.com,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000977,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
000988,上游,华工科技,华工科技产业股份有限公司,深圳证券交易所,电子设备-电子设备制造-电子设备制造,制造业-计算机、通信和其他电子设备制造业,"    华工科技产业股份有限公司成立于1999年,诞生于“中国光谷”腹地,经过多年的技术、产品积淀,已构建起三大核心业务格局:以信息通信技术为重要支撑的联接业务、以敏感电子技术为重要支撑的感知业务、以激光加工技术、软件算法为重要支撑的智能制造业务。公司是中国最大的激光装备制造商之一、全球领先的“激光+智能制造”系统解决方案提供商,光模块业务位列全球Top10(全球光通信权威机构Light Counting发布),全球领先的传感器解决方案提供商。在海外设立能力中心,联合共建激光加工国家工程研究中心、国家防伪工程研究中心、敏感陶瓷国家重点实验室等国家级平台,形成产学研用一体化创新体系。公司坚持高强度研发投入,牵头承担国家“863”计划、科技支撑计划、国家重大科技专项等50余项,攻克高端光芯片、硅光、超快激光等关键核心技术,创造70余项国内行业“第一”,牵头制定中国激光行业首个国际标准,斩获5项国家科技进步奖,培育了3家国家专精特新小巨人企业、3款旗舰产品入选国家制造业单项冠军产品。产品与解决方案广泛应用于汽车、消费电子、轨道交通、船舶制造、低空经济、AI算力、未来能源等国民经济关键领域,助力产业数字化、智能化升级,远销90多个国家和地区,具备全球竞争力。面向未来,公司以国家战略为指引,以光电子为根基、AI为引擎、场景为牵引,坚持有组织创新与自由探索式创新双轮驱动,做强核心赛道、拓展前沿布局,拉长创新长板、攻坚关键技术,致力打造全球领先的“感传知用”全栈AI能力赋能者,在双循环新发展格局中彰显国家竞争力,为高质量发展与制造强国建设持续贡献力量。",一般项目:智能基础制造装备制造;金属切割及焊接设备制造;光通信设备制造;光电子器件制造;电子元器件制造;集成电路芯片及产品制造;移动终端设备制造;智能车载设备制造;新型膜材料制造;光学仪器制造;光学玻璃制造;汽车零部件及配件制造;计算机软硬件及外围设备制造;专用设备制造(不含许可类专业设备制造);通用设备制造(不含特种设备制造);第一类医疗器械生产;工程和技术研究和试验发展;机械设备研发;电子专用材料研发;新兴能源技术研发;激光打标加工;金属表面处理及热处理加工;淬火加工;人工智能行业应用系统集成服务;软件开发;信息系统集成服务;工业互联网数据服务;工业设计服务;物联网应用服务;5G通信技术服务;创业投资(限投资未上市企业);私募股权投资基金管理、创业投资基金管理服务(须在中国证券投资基金业协会完成登记备案后方可从事经营活动);自有资金投资的资产管理服务;融资咨询服务;智能基础制造装备销售;电子元器件与机电组件设备销售;技术玻璃制品销售;包装材料及制品销售;新型膜材料销售;第二类医疗器械销售;第一类医疗器械销售;货物进出口;技术进出口;进出口代理;国内贸易代理;销售代理;采购代理服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广。许可项目:包装装潢印刷品印刷;国家秘密载体技术服务;第三类医疗器械经营;第三类医疗器械生产;第二类医疗器械生产。,www.hgtech.com.cn,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000988,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
000997,中游,新大陆,新大陆数字技术股份有限公司,深圳证券交易所,信息技术-计算机硬件-专用计算机设备,信息传输、软件和信息技术服务业-软件和信息技术服务业,"    新大陆数字技术股份有限公司1994年成立于福建省福州市,是新大陆科技集团下属企业,2000年于深交所主板上市,以“成为数字中国建设的先锋企业”为目标,致力于以科技创新赋能数字经济产业发展。新大陆始终坚持创新、坚守实业,致力于科技创新成果转化,多次主持或参与制定物联网、人工智能国家、行业标准,拥有完全自主知识产权的条码核心技术、行业芯片设计技术,在人工智能领域,图像算法和边缘智能取得重大成果,具备电信级可靠、金融级安全、智能化融合的复杂数字化场景建设能力,已成为一家以数字技术为核心,拥有从物联网终端、系统平台到大数据应用全产业链能力的数字化高科技产业集团。","一般项目:数据处理和存储支持服务;数据处理服务;大数据服务;互联网数据服务;信息系统运行维护服务;工业互联网数据服务;物联网技术研发;物联网设备制造;物联网设备销售;物联网技术服务;软件开发;人工智能理论与算法软件开发;人工智能基础软件开发;人工智能应用软件开发;人工智能行业应用系统集成服务;软件销售;区块链技术相关软件和服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;计算机软硬件及外围设备制造;计算机软硬件及辅助设备批发;计算机软硬件及辅助设备零售;信息系统集成服务;集成电路芯片及产品制造;集成电路芯片及产品销售;信息技术咨询服务;计算机系统服务;云计算装备技术服务;智能控制系统集成;网络与信息安全软件开发;网络技术服务;移动终端设备制造;移动终端设备销售;移动通信设备制造;移动通信设备销售;电子元器件与机电组件设备制造;工业工程设计服务;安全技术防范系统设计施工服务;安全系统监控服务;承接总公司工程建设业务;工程和技术研究和试验发展;工业设计服务;货物进出口;货币专用设备制造;货币专用设备销售;通信设备制造;数字内容制作服务(不含出版发行);教学专用仪器制造;教学专用仪器销售;数字视频监控系统销售;数字视频监控系统制造;电子产品销售;机械设备销售;机械电气设备销售。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)许可项目:建设工程施工;建设工程施工(除核电站建设经营、民用机场建设);建设工程设计;输电、供电、受电电力设施的安装、维修和试验;建筑智能化系统设计;电气安装服务;第二类增值电信业务;检验检测服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)",dt.newland.com.cn,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ000997,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002049,上游,紫光国微,紫光国芯微电子股份有限公司,深圳证券交易所,电子设备-半导体-集成电路,制造业-计算机、通信和其他电子设备制造业,"    紫光国芯微电子股份有限公司(股票代码:002049.SZ)隶属新紫光集团旗下,是国内领先的综合性半导体上市企业,亦是中证100指数成份股企业。在新紫光集团具有全球竞争力的智能科技产业布局下,紫光国微积极践行新紫光“志高行远、创造价值”的价值观,聚焦特种集成电路、智能安全芯片两大主业,并涵盖石英晶体频率器件、功率半导体等重要业务,以芯片、系统解决方案赋能千行百业,产品深度布局移动通信、金融、政务、汽车、工业、物联网等领域,为数字经济高质量发展提供坚实的基础支撑。经过数十载的深耕,紫光国微积累了深厚的技术经验与卓越的研发能力,在主要业务领域拥有相关核心技术,曾获国家科技进步一等奖、二等奖,国家技术发明二等奖等权威奖项,旗下主要产业均为高新技术企业,并获国家企业技术中心、国家级“专精特新”小巨人企业认定。",集成电路芯片设计及服务;集成电路设计;集成电路芯片及产品销售;集成电路销售;电子元器件制造;电子产品销售;电子专用材料制造;电子专用材料销售;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;技术进出口;货物进出口;进出口代理;软件开发;软件销售;信息系统集成服务。,www.gosinoic.com,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002049,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002065,下游,东华软件,东华软件股份公司,深圳证券交易所,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,"    东华软件股份公司2001年1月成立,总部位于北京中关村,东华软件是国家规划布局内重点软件企业、国家火炬计划重点高新技术企业、计算机服务及软件特大型企业。东华软件于2006年8月在深圳主板上市,股票代码002065。东华软件自成立以来,不断加大技术创新、产品创新和业务模式创新的力度,已为数千个用户提供了优秀的软件和信息系统解决方案,涵盖多种应用与技术平台,用户涉及医疗、金融、政务、能源、水利、公安、电信等多个行业,成功完成了国家电网公司、中石油股份公司、中国科学院、水利部、国家气象局、国家工商总局、中国人民银行、华夏银行、中国人寿保险公司、北京协和医院、四川大学华西医院、山西移动通信公司、贵阳市公安局、江苏中烟工业公司、中国国际航空公司等重要客户的应用软件开发和计算机信息系统集成项目。东华软件十分注重同业界各类知名IT厂商建立和保持良好的合作关系,通过共享市场资源与技术资源跟踪最新的技术发展趋势与市场动态,把国内外先进的技术和产品用一流的服务带给用户。多年良好的业绩及服务已经得到众多厂家的信任与认可。目前,东华已成为数十家国际国内知名IT企业的增值代理商、系统集成商或战略合作伙伴,为用户提供了全面的解决方案和优质高效的服务。2020年1月,腾讯14.4亿元入股东华软件,双方强强联合,在市场拓展、技术研发、企业管理和生态建设等方面的合作持续深入。","一般项目:技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;信息系统集成服务;计算机系统服务;数据处理服务;软件开发;网络与信息安全软件开发;软件销售:计算机软硬件及外围设备制造;计算机软硬件及辅助设备批发;软件外包服务;通讯设备销售;第二类医疗器械销售;工业控制计算机及系统销售:工业自动控制系统装置销售;物联网技术服务;智能控制系统集成;对外承包工程;数据处理和存储支持服务:货物进出口:技术进出口;进出口代理;网络设备销售;汽车销售;人工智能行业应用系统集成服务:人工智能硬件销售:人工智能基础软件开发:人工智能应用软件开发。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)许可项目:基础电信业务;第一类增值电信业务;第二类增值电信业务;出版物零售;职业中介活动、广告发布。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)(不得从事国家和本市产业政策禁止和限制类项目的经营活动)。",www.dhcc.com.cn,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002065,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002131,下游,利欧股份,利欧集团股份有限公司,深圳证券交易所,文化传媒-营销服务-营销服务,租赁和商务服务业-商务服务业,"    利欧集团股份有限公司(股票代码002131)是中国泵行业上市公司,也是中国A股的数字营销公司,公司已经构建完成了“机械制造+数字传播”双业务平台产业发展格局。机械制造是公司的传统业务,产品在民用给排水、农业灌溉、水务工程、工业水处理、水利建设、电力电站、石油化工、园林保护等关键领域发挥着至关重要的作用。公司系国家级高新技术企业,国家智能制造试点示范企业,拥有国家认定的企业技术中心。利欧数字初创于2014年,总部位于上海,并在北京、深圳、广州、南京设有分支机构,现旗下设有四大业务单元,分别为琥珀集团、氩氮集团、媒介业务群和多元业务群,致力于成为全球领先的数字集团,以数字化驱动重构传播,为客户提供数字策略和数据、数字创意、数字媒体、数字流量、数字电视、社会化媒体和娱乐内容营销以及电子商务为一体的“数字化商业转型”解决方案。","泵、园林机械、清洁机械设备、电机、汽油机、阀门、模具、五金工具、电气控制柜、成套供水设备、农业机械、机械设备、环保设备、电器零部件及相关配件的生产、销售,设计、制作、代理、发布国内各类广告,企业营销策划,进出口经营业务,实业投资。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.leoglobal.com,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002131,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002230,中游,科大讯飞,科大讯飞股份有限公司,深圳证券交易所,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,"    科大讯飞股份有限公司成立于1999年,是亚太地区知名的智能语音和人工智能上市企业。自成立以来,一直从事智能语音、计算机视觉、自然语言处理、认知智能等人工智能核心技术研究并保持国际前沿水平。科大讯飞积极推动人工智能源头核心技术研发和产业化落地,致力于“让机器能听会说,能理解会思考,用人工智能建设美好世界”。2008年公司在深圳证券交易所挂牌上市(股票代码:002230)。作为中国人工智能“国家队”,科大讯飞承建了中国唯一的认知智能全国重点实验室和语音及语言信息处理国家工程研究中心,同时是中国语音产业联盟理事长单位、中科院人工智能产学研创新联盟理事长单位、长三角人工智能产业链联盟理事长单位。","增值电信业务;专业技术人员培训;计算机软、硬件开发、生产和销售及技术服务;系统工程、信息服务;电子产品、计算机通讯设备研发、生产、销售;移动通信设备的研发、销售;二类、三类医疗器械研发、制造与销售;图书、电子出版物销售;进出口业务(国家限定和禁止经营的除外);安全技术防范工程;商用房及住宅房租赁;物业管理;设计、制作、代理、发布广告。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.iflytek.com,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002230,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002236,中游,大华股份,浙江大华技术股份有限公司,深圳证券交易所,信息技术-计算机硬件-PC、服务器及硬件,制造业-计算机、通信和其他电子设备制造业,"    浙江大华技术股份有限公司,是全球领先的以视频为核心的智慧物联解决方案提供商和运营服务商。围绕城市、企业的数智化创新与转型,从智能到融合智能,公司深入践行DahuaThink#2.0战略,推动城市业务从改善城市管理到城市高效治理、保障运行有序到城市运行自治、提升公共安全到安全体系升级、生态环境监测到生态协同治理,企业业务从优化安全体系到构建大安全体系、提高生产效率到构铸数智生产力、辅助经营管理到提升经营决断力,致力于让社会更智能,让生活更美好。大华股份始终坚持技术创新,建立了先进技术研究院、数据空间研究院、中央研究院、网络安全研究院和产品工程院。依托对智慧物联的深入洞察与布局,公司持续探索新兴业务,延展了华睿、华感、华锐捷、华视智检、华消等创新业务。大华股份积极完善全球营销和服务网络建设,在全球各大洲的主要国家建立了75个海外分子公司,在国内设立了200多个办事处,产品与解决方案服务覆盖全球180多个国家和地区,广泛应用于智慧城市、交通、民生、制造、教育、能源、金融、环保等多个领域,为客户提供快速、优质的服务。公司参与了北京冬奥会、中国国际进口博览会、G20杭州峰会、里约奥运会、厦门金砖国家峰会、上海世博会、广州亚运会、港珠澳大桥等重大工程项目。大华股份作为国家高新技术企业,2008年5月成功在A股上市(股票代码:002236),公司拥有国家级博士后科研工作站、是国家认定企业技术中心、国家技术创新示范企业。2008-2024年连续17年被列入国家软件企业百强;连续18年入选《a&s》“全球安防50强”;获评国家级工业设计中心、浙江省人民政府质量奖、高质量发展领军企业、国家卓越级智能工厂等荣誉,在Omdia2025发布的报告中全球视频监控市场占有率排名第二位,是智慧物联与安防生态领域最具成长性企业。大华股份将秉承“成就客户,成就奋斗者”的核心价值观,践行“让社会更智能,让生活更美好”的使命,以卓越品质与服务立足市场,为客户创造更多价值,为构建安全、低碳、美好、和谐的世界不懈努力。","一般项目:软件开发;数字视频监控系统制造;数字视频监控系统销售;安防设备制造;安防设备销售;物联网设备制造;物联网设备销售;物联网技术研发;物联网技术服务;物联网应用服务;大数据服务;5G通信技术服务;计算机软硬件及外围设备制造;计算机软硬件及辅助设备批发;计算机软硬件及辅助设备零售;云计算设备制造;云计算设备销售;云计算装备技术服务;通信设备制造;通信设备销售;移动通信设备制造;移动通信设备销售;网络设备制造;网络设备销售;显示器件制造;显示器件销售;智能无人飞行器制造;智能无人飞行器销售;通用设备制造(不含特种设备制造);雷达及配套设备制造;配电开关控制设备研发;配电开关控制设备制造;配电开关控制设备销售;仪器仪表制造;仪器仪表销售;电子元器件制造;电子元器件批发;电子元器件零售;光伏设备及元器件制造;光伏设备及元器件销售;安全、消防用金属制品制造;照明器具制造;照明器具销售;机械设备研发;机械设备销售;机械电气设备制造;机械电气设备销售;电子产品销售;可穿戴智能设备制造;可穿戴智能设备销售;金属结构制造;金属结构销售;音响设备制造;音响设备销售;环境保护专用设备制造;环境保护专用设备销售;特种劳动防护用品生产;特种劳动防护用品销售;虚拟现实设备制造;互联网销售(除销售需要许可的商品);技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;信息系统集成服务;智能控制系统集成;人工智能公共数据平台;人工智能行业应用系统集成服务;计算机系统服务;互联网数据服务;数据处理和存储支持服务;安全系统监控服务;电子、机械设备维护(不含特种设备);租赁服务(不含许可类租赁服务);停车场服务;环境保护监测;货物进出口;技术进出口;充电桩销售;输配电及控制设备制造;智能输配电及控制设备销售;业务培训(不含教育培训、职业技能培训等需取得许可的培训)(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)。许可项目:Ⅱ、Ⅲ类射线装置销售;放射性同位素生产(除正电子发射计算机断层扫描用放射性药物);Ⅱ、Ⅲ、Ⅳ、Ⅴ类放射源销售;建设工程设计;Ⅱ、Ⅲ类射线装置生产;测绘服务;第二类增值电信业务(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以审批结果为准)。",www.dahuatech.com,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002236,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002253,中游,川大智胜,四川川大智胜软件股份有限公司,深圳证券交易所,信息技术-计算机软件-行业应用软件,信息传输、软件和信息技术服务业-软件和信息技术服务业,"    四川川大智胜软件股份有限公司(Wisesoft Co.,Ltd.)成立于2000年11月,2008年6月在深圳证券交易所挂牌上市。公司长期坚持自主创新,将图形图像技术、人工智能技术应用到三维测量与人脸识别、航空与空中交通管理、飞行模拟等领域。经过多年的技术沉淀,公司已是国内领先的三维人脸识别系统及空中交通管制系统的产品开发、系统集成和服务供应商。公司先后获得国家科技进步一等奖1项、二等奖4项,国家技术发明二等奖1项,省部级科技进步一等奖8项、二等奖9项。公司是视觉合成图形图像技术国防重点学科实验室的试验基地和技术支撑单位。公司将依托自主创新和平台优势,在现有主要业务持续增长的基础上,努力开拓新的利润增长点,实现公司业绩的稳健快速增长。建成:积淀深厚、产品质量优秀、管理体系健全、盈利能力强劲、奖惩分明、绩效激励、员工待遇优厚的自主创新型集团公司。","一般项目:软件开发;人工智能公共服务平台技术咨询服务;信息系统集成服务;人工智能通用应用系统;人工智能行业应用系统集成服务;信息系统运行维护服务;数据处理和存储支持服务;信息技术咨询服务;数字内容制作服务(不含出版发行);数据处理服务;计算机系统服务;云计算装备技术服务;技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广;业务培训(不含教育培训、职业技能培训等需取得许可的培训);租赁服务(不含许可类租赁服务);信息咨询服务(不含许可类信息咨询服务);安全系统监控服务;知识产权服务(专利代理服务除外);通信设备销售。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)许可项目:计算机信息系统安全专用产品销售;通用航空服务。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)。",www.wisesoft.com.cn,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002253,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
002281,上游,光迅科技,武汉光迅科技股份有限公司,深圳证券交易所,信息技术-通信设备-通信传输设备,制造业-计算机、通信和其他电子设备制造业,"    武汉光迅科技股份有限公司(简称光迅科技)是光电器件、模块研发及产业化全球先行者;专注于光通信领域近50年,多项""第一""由此诞生,是""国家认定企业技术中心""""国家技术创新示范企业""""光纤通信技术和网络国家重点实验室"",具备光电子芯片、器件、模块及子系统产品的战略研发和规模量产能力。光迅科技源于1976年成立的邮电部固体器件研究所,2001年改制,2009年登陆深圳证券交易所,成为国内首家上市的通信光电子器件公司,连续十八年入选""中国光器件与辅助设备及原材料最具竞争力企业10强(榜首)""""全球光器件最具竞争力企业10强""。光迅科技产品涵盖全系列光通信模块(Optical Transceivers)、无源光器件/模块(Passive assemblies/modules)、光波导集成器件、光纤放大器(Optical Fiber Amplifier),广泛应用于骨干网、城域网、宽带接入(FTTX)、无线通信(4G/5G)、数据中心(Data Center)、物联网。光迅科技拥有自主研发并规模生产的PLC、FP、DFB、EML、VCSEL、APD等芯片技术及平台,形成了半导体材料生长、半导体工艺与平面光波导、光学设计与封装、高频仿真与设计、热分析与机械设计、软件控制与子系统开发六大核心技术工艺平台,具备从芯片到器件、模块、子系统的垂直整合能力。光迅科技在光通信传输网、接入网和数据中心等领域构筑了全方位的综合解决方案及柔性制造与高质量交付能力,并以产业数字化为引领,建立了稳定高效的供应保障体系、过程可追溯质量体系,产品年出货量行业前三。光迅科技始终以客户为中心,提供客户全面所需系列产品和多维技术支持,已成为多家电信设备集成商、互联网服务提供商、电信运营商的合作伙伴,产品全面覆盖全球顶级通信设备商,完善的销售网络持续为运营商及互联网厂商提供优质服务,持续为客户创造价值。光迅科技秉承""坚持技术领先,专注品质第一,致力服务卓越,持续顾客满意""的质量方针,产品严格执行行业相关标准,于1999年和2005年、2023年先后通过了ISO9001质量管理体系、TL9000通讯行业质量管理体系、IATF16949汽车行业质量管理体系认证,还导入QC080000有害物质过程管理体系和CSR企业社会责任管理体系,持续为客户提供高质量的产品和服务。","信息科技领域光、电器件技术及产品的研制、生产、销售和相关技术服务;信息系统的工程设计、施工、系统集成;信息咨询服务;计算机软、硬件研制、开发、系统集成;网络及数据通信产品的开发、生产、销售;软件开发与技术服务;安全技术防范产品的生产、销售;货物进出口、技术进出口、代理进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",www.accelink.com,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ002281,2026-07-27,成功,,04_code/60gupiao.py与04_code/financialtest60.py中的硬编码名单,否（当前公司概况仅用于补齐基础信息）
