样本方案,事件,事件日期,基准指数,事件窗口,比较名称,A样本数,B样本数,A均值,B均值,A减B差异,Welch_t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游 vs 下游,20,20,0.03713910640210912,-0.023641782371241486,0.06078088877335061,3.621121175522437,0.0009156308696194663,0.004120338913287599,0.04944406695945118,True,True
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",中游 vs 下游,20,20,0.003988137035273053,-0.023641782371241486,0.02762991940651454,1.5270541444772858,0.13512038226650164,0.1737262057712164,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",上游 vs 中游,20,20,0.03713910640210912,0.003988137035273053,0.03315096936683607,2.10814521594219,0.04189942682350366,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游 vs 下游,20,20,0.03624748910650416,0.009488113252808966,0.026759375853695193,0.950999487609093,0.34781413408725514,0.39129090084816204,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",中游 vs 下游,20,20,-0.005874001084460283,0.009488113252808966,-0.015362114337269249,-0.6236293238762818,0.5366130254075545,0.5857188434068649,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",上游 vs 中游,20,20,0.03624748910650416,-0.005874001084460283,0.04212149019096444,1.5364333991041572,0.13321679088696836,0.1737262057712164,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游 vs 下游,20,20,-0.0325342815890127,0.07952091809399403,-0.11205519968300673,-2.853325257381642,0.007203533345987483,0.02161060003796245,0.3889908006833241,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",中游 vs 下游,20,20,0.07105348450526286,0.07952091809399403,-0.008467433588731171,-0.19731105034142093,0.8446417154903887,0.8446417154903888,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",上游 vs 中游,20,20,-0.0325342815890127,0.07105348450526286,-0.10358776609427556,-2.7650532139421284,0.008885737105733251,0.022849038271885506,0.4798298037095956,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游 vs 下游,20,20,0.027664643178461106,-0.03336768103770199,0.0610323242161631,3.660693524814689,0.0008149486559301867,0.004000657038202735,0.04400722742023008,True,True
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",中游 vs 下游,20,20,-0.005914922257091707,-0.03336768103770199,0.027452758780610285,1.5345870116037985,0.1332636241220207,0.1737262057712164,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",上游 vs 中游,20,20,0.027664643178461106,-0.005914922257091707,0.033579565435552815,2.150170625004891,0.03816353764202579,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游 vs 下游,20,20,0.0387581766199011,0.010623090167520114,0.028135086452380987,1.000314566270164,0.3236988455992365,0.3742282629095982,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",中游 vs 下游,20,20,-0.004167496496793699,0.010623090167520114,-0.014790586664313814,-0.5983329101947649,0.553178907662039,0.5857188434068649,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",上游 vs 中游,20,20,0.0387581766199011,-0.004167496496793699,0.0429256731166948,1.5604648662549987,0.1274076251437914,0.1737262057712164,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游 vs 下游,20,20,-0.02417190564505281,0.09115191658221837,-0.11532382222727118,-2.926741640686822,0.0059803857695521975,0.020183801972238666,0.32294083155581865,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",中游 vs 下游,20,20,0.08175970942692652,0.09115191658221837,-0.009392207155291848,-0.2175913797158247,0.8289184544480661,0.8446417154903888,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",上游 vs 中游,20,20,-0.02417190564505281,0.08175970942692652,-0.10593161507197933,-2.8207936727278926,0.00772368653234671,0.021951530144564333,0.41707907274672235,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游 vs 下游,20,20,0.014726905272427116,-0.048054533961399554,0.06278143923382667,3.7862279391333558,0.0005643148700513975,0.0030473002982775465,0.030473002982775464,True,True
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",中游 vs 下游,20,20,-0.020514300580570695,-0.048054533961399554,0.02754023338082886,1.5606120744371388,0.12699819005194685,0.1737262057712164,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",上游 vs 中游,20,20,0.014726905272427116,-0.020514300580570695,0.03524120585299781,2.2653026038912296,0.029413069989592817,0.06353223117752049,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游 vs 下游,20,20,0.028894602957512932,0.0009457302465707314,0.0279488727109422,0.9960700421894252,0.32571719179168734,0.3742282629095982,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",中游 vs 下游,20,20,-0.014132510437864338,0.0009457302465707314,-0.015078240684435069,-0.6123387766052776,0.5439765958878041,0.5857188434068649,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",上游 vs 中游,20,20,0.028894602957512932,-0.014132510437864338,0.04302711339537727,1.5740648321728914,0.1242465904069662,0.1737262057712164,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游 vs 下游,20,20,-0.037796552923711806,0.0749523250887276,-0.11274887801243941,-2.8692301903758493,0.006910056413444252,0.02161060003796245,0.3731430463259896,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",中游 vs 下游,20,20,0.06583658587054533,0.0749523250887276,-0.009115739218182262,-0.21331845733942273,0.8322266060026041,0.8446417154903888,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",上游 vs 中游,20,20,-0.037796552923711806,0.06583658587054533,-0.10363313879425715,-2.7754272620156697,0.008640715677431982,0.022849038271885506,0.46659864658132705,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游 vs 下游,20,20,0.01889140392026661,-0.022813726491695302,0.041705130411961916,3.510781919564116,0.0012151101108117078,0.004712591719395881,0.06561594598383222,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",中游 vs 下游,20,20,-0.003880380697106331,-0.022813726491695302,0.018933345794588972,2.106284615140504,0.04272262346251011,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",上游 vs 中游,20,20,0.01889140392026661,-0.003880380697106331,0.02277178461737294,2.1520401315153466,0.03971927517877297,0.07112455610494837,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游 vs 下游,20,20,-0.034171523765443745,-0.12162380359120013,0.08745227982575639,4.219799929683207,0.0001569972932774955,0.001351068803779444,0.008477853836984756,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",中游 vs 下游,20,20,-0.08169029012019556,-0.12162380359120013,0.03993351347100457,1.9147823790263179,0.06340775325253403,0.0957981092723032,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",上游 vs 中游,20,20,-0.034171523765443745,-0.08169029012019556,0.047518766354751815,2.585082206609354,0.01369951931313656,0.032164088822146705,0.7397740429093742,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游 vs 下游,20,20,0.03283403442877545,-0.08624033481667978,0.11907436924545522,4.71166926753418,3.6183563558978146e-05,0.0006513041440616066,0.00195391243218482,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",中游 vs 下游,20,20,-0.05322492107332753,-0.08624033481667978,0.03301541374335225,1.335793094984596,0.1902417450269157,0.22829009403229886,1.0,False,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",上游 vs 中游,20,20,0.03283403442877545,-0.05322492107332753,0.08605895550210299,4.015067254905996,0.00027122969067330967,0.001627378144039858,0.014646403296358723,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",上游 vs 下游,20,20,0.024107213430782273,-0.01742296866729238,0.04153018209807466,3.5013000857577974,0.001253079230855196,0.004712591719395881,0.06766627846618058,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",中游 vs 下游,20,20,0.0016325950109262045,-0.01742296866729238,0.019055563678218587,2.127454426177996,0.04072798996212706,0.07112455610494837,1.0,False,False
