样本方案,事件,事件日期,基准指数,事件窗口,样本数,产业链梯度斜率,HC1标准误,t值,原始p值,p_BH全局,p_Bonferroni全局,BH全局5%显著,Bonferroni全局5%显著
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",60,0.030390444386675278,0.008321202818256915,3.6521696502815586,0.0002600339972924817,0.0005200679945849634,0.004680611951264671,True,True
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",60,0.013379687926847584,0.0140321095120925,0.9535050959599,0.34033421544947584,0.34033421544947584,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",60,-0.05602759984150331,0.01963213226814998,-2.853872369859651,0.004318987892750436,0.005182785471300523,0.07774178206950785,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",60,0.030516162108081522,0.008265625043356498,3.691936417150801,0.00022255311003071865,0.000500744497569117,0.004005955980552936,True,True
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",60,0.014067543226190487,0.014026922594307016,1.0028959047581796,0.31591108874559437,0.3367302345703107,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",60,-0.05766191111363553,0.019701816646203477,-2.926730674084663,0.003425453758499276,0.00474293597330669,0.06165816765298697,True,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",60,0.031390719616913296,0.008221571847841263,3.8180922331969347,0.0001344876487473544,0.000345825382493197,0.002420777677452379,True,True
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",60,0.013974436355471093,0.013995025636939119,0.9985288143085868,0.31802299931640454,0.3367302345703107,1.0,False,False
全60家公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",60,-0.056374439006219634,0.019641871390948824,-2.87011547342671,0.004103219236957394,0.005182785471300523,0.0738579462652331,True,False
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",60,0.02085256520598094,0.0058890514494970864,3.54090389340404,0.00039875879852508994,0.0006602578751722519,0.0071776583734516185,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",60,0.04372613991287812,0.010274430313162303,4.25582135263127,2.0828296938525757e-05,7.258460940345906e-05,0.00037490934489346365,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",60,0.05953718462272755,0.01260712777514392,4.722501880254631,2.3296093521628003e-06,1.3977656112976802e-05,4.193296833893041e-05,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",60,0.020765091049037315,0.005880045489139644,3.531450749384529,0.00041328681744914967,0.0006602578751722519,0.007439162714084694,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",60,0.04460929572308746,0.01034336184601602,4.312842998939435,1.6116857030972434e-05,7.252585663937596e-05,0.00029010342655750383,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",60,0.06455038332228093,0.012520705139995272,5.155491052663293,2.5296712142463917e-07,4.553408185643505e-06,4.553408185643505e-06,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",60,0.020651667103205304,0.005875718177467762,3.51474772605678,0.00044017191678150124,0.0006602578751722519,0.007923094502067022,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",60,0.043177857224097345,0.010226432210955339,4.222181923607914,2.419486980115302e-05,7.258460940345906e-05,0.00043550765642075436,True,True
全60家公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",60,0.06163960981684207,0.012596578531294752,4.893361293600921,9.912818614437596e-07,8.921536752993836e-06,1.7843073505987672e-05,True,True
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-1,+1]",42,0.04344338406148294,0.011012969420565946,3.94474754287027,7.988409411163709e-05,0.00023965228233491126,0.0014379136940094676,True,True
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-3,+3]",42,0.02895224970088718,0.015696175539137512,1.8445416610368819,0.06510424014686757,0.06510424014686757,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000001.SH,"[-5,+5]",42,-0.05285365800303429,0.020286019648793646,-2.6054227945193453,0.009176095114787081,0.011011314137744498,0.16516971206616746,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-1,+1]",42,0.043297251886988436,0.010969366502325705,3.9471059589274033,7.910155504090572e-05,0.00023965228233491126,0.001423827990736303,True,True
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-3,+3]",42,0.02977432212493138,0.01569635702110853,1.8968937878318353,0.05784195751372748,0.06481084862651529,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,000300.SH,"[-5,+5]",42,-0.05443626090128721,0.02043707231231267,-2.6636036742156626,0.0077308585515463634,0.010704265686756503,0.13915545392783454,True,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-1,+1]",42,0.043955907838432444,0.010927597551621577,4.022467667827838,5.759156193206602e-05,0.00023965228233491126,0.0010366481147771884,True,True
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-3,+3]",42,0.029376014927360142,0.01569253636162305,1.8719736727327765,0.06121024592504221,0.06481084862651529,1.0,False,False
剔除机器冲突公司,DeepSeek-R1_2025-01-20,2025-01-20,399001.SZ,"[-5,+5]",42,-0.053286594792668555,0.020300580418625452,-2.6248803577940545,0.008667941902488279,0.011011314137744498,0.156022954244789,True,False
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-1,+1]",42,0.02749117580497832,0.008829670813010398,3.113499516252684,0.0018488281302844597,0.0027732421954266896,0.03327890634512028,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-3,+3]",42,0.05328152477615148,0.014716091429858396,3.6206301809219035,0.0002938863351209063,0.0006258935938011235,0.005289954032176314,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,"[-5,+5]",42,0.08813459842116342,0.013122023828813136,6.716540037645629,1.8609019496911447e-11,1.1165411698146867e-10,3.3496235094440604e-10,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-1,+1]",42,0.027518643430264424,0.008774757434961528,3.136114432134736,0.0017120238829585249,0.0027732421954266896,0.03081642989325345,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-3,+3]",42,0.05399043438464493,0.014783957651925646,3.651960838619728,0.00026024557797005895,0.0006258935938011235,0.004684420403461061,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,"[-5,+5]",42,0.09304383423905892,0.01308796270295024,7.109115173294719,1.1678925904792207e-12,2.1022066628625974e-11,2.1022066628625974e-11,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-1,+1]",42,0.027387490751650333,0.008783221842566165,3.1181599693773214,0.0018198399840844478,0.0027732421954266896,0.032757119713520064,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-3,+3]",42,0.05317189330156665,0.014752184532444418,3.6043403053036602,0.00031294679690056174,0.0006258935938011235,0.005633042344210111,True,True
剔除机器冲突公司,DeepSeek-V3_2024-12-26,2024-12-26,399001.SZ,"[-5,+5]",42,0.09031296565435203,0.013131586352862728,6.877536592116574,6.0896384099506675e-12,5.4806745689556006e-11,1.0961349137911201e-10,True,True
