事件,事件日期,基准指数,Stkcd,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]",股票代码,冻结Layer,机器建议与原始Layer是否冲突
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,977,0.0013044323636749,1.4837285302299892,221,-0.0145086154399979,3,0.0066807246533379,7,0.0583507757780276,11,000977,上游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,988,0.0002979458994443,1.6117767323475012,221,0.0714689703997447,3,0.0699324325584911,7,0.1287134119019431,11,000988,上游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,997,-8.739710217222916e-05,1.5325328095928394,221,-0.0286139581269004,3,-0.0293606146126689,7,-0.0161741902825042,11,000997,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2049,-0.0001791174462429,1.4892355820315073,221,0.0001883930978974,3,-0.058027131758007,7,-0.0231299653619101,11,002049,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2065,0.0005758654670314,1.335419839590877,221,-0.0127787161186261,3,-0.0823409677267363,7,-0.0980630002402022,11,002065,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2131,-0.0011669764931971,1.3446141191672445,221,-0.0360056856350462,3,-0.283652241327624,7,-0.1796264577855194,11,002131,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2230,-0.0001596704825764,1.3264885784889722,221,-0.0081465800152588,3,-0.0598991663869004,7,-0.0562841274877569,11,002230,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2236,-0.0008893295685059,1.4058780536057085,221,0.0092142982912534,3,-0.0328328431920244,7,-0.0223111271751878,11,002236,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2253,0.0006783705787639,1.401755825063782,221,0.003866200426638,3,-0.1621421007726166,7,-0.1551017234234576,11,002253,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2281,0.0015274733250086,1.8294446085990996,221,-0.0106426395945111,3,-0.093421047953785,7,0.1024526333210024,11,002281,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2368,-0.0009905820560116,1.723926226704963,221,-0.0139321268333804,3,-0.0522571152008909,7,-0.0424558812741435,11,002368,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2371,0.0027125217307909,1.1094934039366071,221,-0.0008730078071378,3,-0.0700412997835678,7,-0.02337311660695,11,002371,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2405,-2.3809018573363888e-05,1.448190632303632,221,-0.0176251141875073,3,-0.0874915544730725,7,-0.0971125525508315,11,002405,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2415,-0.0006696855806167,1.034066377127442,221,0.010616961824325,3,0.0039577730025771,7,-0.0110209638840242,11,002415,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2439,-0.002406593117388,1.6715413841745232,221,6.04142742292868e-06,3,-0.0494539904043347,7,-0.0153931832065609,11,002439,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2463,0.0026007945101593,1.266850165088341,221,0.0352709557719287,3,0.0056782039705998,7,0.0419352894874772,11,002463,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2607,-0.0012651810064767,1.4127512011118255,221,-0.0241626312454993,3,-0.1244326772232042,7,-0.2348147985703164,11,002607,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,2777,-0.0012555959351274,1.456436140684794,221,-0.0125849525089539,3,-0.0875268196585895,7,-0.0898737485739907,11,002777,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300020,-0.0051239000170298,1.7453398692105209,220,0.0247846534677838,3,-0.0142776709141342,7,0.1933053448294926,11,300020,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300033,0.0025870856168668,2.3862506108345456,221,-0.0158524823463255,3,-0.0661400549703816,7,-0.0481534601032603,11,300033,中游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300036,-0.0009496938811602,2.1261933376128552,221,-0.0141421817803453,3,-0.0708441413759239,7,-0.037150901280947,11,300036,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300058,-0.0001270584600179,2.0723761901355244,221,-0.0151198018353835,3,-0.1105268636156969,7,-0.1341286754715957,11,300058,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300075,-0.0004529982115475,1.9937405593845436,221,-0.0135407695512873,3,-0.0676597172027262,7,-0.0703504137898662,11,300075,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300078,-0.0011623975702518,2.216645308196774,221,-0.0220429832598118,3,-0.2011423977939463,7,-0.1593294639643441,11,300078,中游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300168,-0.0009262063254092,1.9395657504178727,221,0.0041361068252434,3,-0.0586635191119082,7,-0.0814057085543347,11,300168,下游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300170,-0.0001831800434804,2.113286498948852,221,-0.0107424182914243,3,-0.2148542300631715,7,-0.0841358427015122,11,300170,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300188,-0.001010595336376,2.241487979306732,221,-0.0276047470295844,3,-0.1536662798128169,7,-0.0742154278591915,11,300188,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300223,9.703451200151012e-05,1.934204611048204,221,-0.021682389609215,3,-0.0765106794279208,7,-0.0700662461336575,11,300223,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300229,-0.0011387441021207,2.425407094104986,221,0.0404266139793985,3,0.0089120736450517,7,0.0483128279392702,11,300229,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300253,-0.00041676825016,1.9044561753762508,221,-0.0078057510263013,3,-0.0872584835007408,7,-0.0677359527061321,11,300253,下游,是
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300308,0.0023489167281214,1.9638108470170228,221,0.0297954758377665,3,-0.0307919350095641,7,0.076821637995575,11,300308,上游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300365,-0.0009250766521576,2.06349766556588,221,-0.0169887582672833,3,-0.115465729204883,7,-0.0661468366110596,11,300365,中游,否
DeepSeek-V3_2024-12-26,2024-12-26,000001.SH,300394,0.0024374428418424,1.7835219953482842,221,0.0556334604146263,3,-0.0770877120605495,7,-0.0474314232730967,11,300394,上游,否
