================================================================================
附录：DeepSeek-V3 事件窗口新闻事件日志
窗口时间：2024-12-21 至 2024-12-31
================================================================================

| 序号 | 日期 | 企业 | 新闻标题 | 来源 | AI竞品 |
|------|------|------|----------|------|--------|
| 1 | 2024-12-21 | 创业慧康科技股份有限公司 | 雷来了！95只股票减持，大股东集体套现，含半导体等科技龙头 | 网易 | 否 |
| 2 | 2024-12-21 | 云从科技集团股份有限公司 | 极视角营造AI生态，助推青岛、山东跃入全国人工智能视觉算法第一梯队 | 青岛晚报 | 否 |
| 3 | 2024-12-22 | 广东生益科技股份有限公司 | 年终基金“排位战”最后冲刺！附涨幅前20名基金持仓股！ | 财富号 | 否 |
| 4 | 2024-12-22 | 浙江核新同花顺网络信息股份有限 | 年终基金“排位战”最后冲刺！附涨幅前20名基金持仓股！ | 财富号 | 否 |
| 5 | 2024-12-22 | 广东生益科技股份有限公司 | 年终公募“排位战”最后冲刺！看涨幅前20名基金持仓股！ | 财富号 | 否 |
| 6 | 2024-12-22 | 浙江核新同花顺网络信息股份有限 | 年终公募“排位战”最后冲刺！看涨幅前20名基金持仓股！ | 财富号 | 否 |
| 7 | 2024-12-22 | 北京数字政通科技股份有限公司 | 机构密集调研AI眼镜概念股！龙头双双20CM涨停，本月接待量居前热门股名单来了 | 金融界 | 否 |
| 8 | 2024-12-22 | 广东生益科技股份有限公司 | 热烈祝贺：生益科技集团一项IEC标准通过国内论证，一项国标通过研讨 | 微信-生益天空下 | 否 |
| 9 | 2024-12-22 | 北京数字政通科技股份有限公司 | 调研| 机构密集调研AI眼镜概念股！龙头双双20CM涨停，本月接待量居前热门股名单来了 | 微信-京城夜读 | 否 |
| 10 | 2024-12-22 | 浙江核新同花顺网络信息股份有限 | 机构年底激战个人养老金，五大行已上线指基Y份额 | 微信-中国基金报 | 否 |
| 11 | 2024-12-22 | 北京超图软件股份有限公司 | 自然资源部海南基础地理信息中心云套件软件采购项目中标公告 | 中国政府采购网 | 否 |
| 12 | 2024-12-22 | 深圳市汇顶科技股份有限公司 | 2021年09月03日 | 汇顶科技营收结构发生较大变化，IoT与音频业务效能显现 | 同花顺整理 | 否 |
| 13 | 2024-12-22 | 北京华胜天成科技股份有限公司 | 华胜天成上周获融资净卖出3127.37万元，居两市第133位 | 金融界 | 否 |
| 14 | 2024-12-22 | 曙光信息产业股份有限公司 | 中科曙光上周获融资净买入2.45亿元，居两市第10位 | 网易 | 否 |
| 15 | 2024-12-22 | 广东生益科技股份有限公司 | 生益科技上周获融资净买入2.51亿元，居两市第6位 | 网易 | 否 |
| 16 | 2024-12-23 | 曙光信息产业股份有限公司 | 四大核心算力主线出炉 机构资金、融资客盯上这些股 | 东方财富网 | 否 |
| 17 | 2024-12-23 | 彩讯科技股份有限公司 | 彩讯股份：12月20日获融资买入9329.66万元，占当日流入资金比例30.8% | 同花顺iNews | 否 |
| 18 | 2024-12-23 | 创业慧康科技股份有限公司 | 创业慧康：融资净买入1557.08万元，融资余额5.05亿元（12-20） | 东方财富网 | 否 |
| 19 | 2024-12-23 | 北京超图软件股份有限公司 | 超图软件：融资净偿还612.92万元，融资余额8.6亿元（12-20） | 东方财富网 | 否 |
| 20 | 2024-12-23 | 浙江核新同花顺网络信息股份有限 | 同花顺：融资净买入1.56亿元，融资余额49.88亿元（12-20） | 东方财富网 | 否 |
| 21 | 2024-12-23 | 北京华胜天成科技股份有限公司 | 华胜天成12月20日获融资买入1.35亿元，融资余额7.07亿元 | 新浪财经 | 否 |
| 22 | 2024-12-23 | 创业慧康科技股份有限公司 | 创业慧康12月20日获融资买入6176.08万元，融资余额5.05亿元 | 新浪财经 | 否 |
| 23 | 2024-12-23 | 北京数字政通科技股份有限公司 | 数字政通：12月20日获融资买入4453.95万元，占当日流入资金比例24.12% | 同花顺iNews | 否 |
| 24 | 2024-12-23 | 曙光信息产业股份有限公司 | 华创证券研报：推荐算力主线内四个细分板块投资机会 | 北京证券网-股民天地 | 否 |
| 25 | 2024-12-23 | 启明星辰信息技术集团股份有限公 | 长安银行（网安）大单：启明星辰、绿盟（中） | 网易 | 否 |
| 26 | 2024-12-23 | 深圳市汇顶科技股份有限公司 | 光伏“寡头”现重大并购，一场“国产替代”豪赌 | 微信-PV-Tech | 否 |
| 27 | 2024-12-23 | 彩讯科技股份有限公司 | 2024年12月23日，彩讯股份日内振幅超过7% | 同花顺金融研究中心 | 否 |
