Model,Variable,Coefficient,Std_Error,t_stat,p_value,N_obs,R_squared
全样本,Size,0.0037922747134168343,0.009999080042377113,0.37926236187177126,0.7045087864799695,5269,0.001492222104471863
全样本,ROA,0.15700417116289828,0.055850979063550694,2.811126569227179,0.004955618239973036,5269,0.001492222104471863
全样本,Leverage,0.006550963422712067,0.034118832433900154,0.1920043259218651,0.8477464370857672,5269,0.001492222104471863
上游,Size,-0.0182551192859262,0.022262910143238827,-0.819979021990987,0.41234899030529415,1729,0.0036631694216111566
上游,ROA,0.30491322203508536,0.1478489404751595,2.0623294360794873,0.03933590402956977,1729,0.0036631694216111566
上游,Leverage,-0.05866286090181955,0.0773635923146506,-0.7582747794754402,0.4483970707092477,1729,0.0036631694216111566
下游,Size,-0.016867728536629625,0.03453522705173139,-0.48842095380936484,0.6253157135805276,1786,0.005015868219536035
下游,ROA,0.3004121479426494,0.11532427982711474,2.6049340901413314,0.009270623975684122,1786,0.005015868219536035
下游,Leverage,0.05071822168210749,0.05651648911310472,0.8974057390685869,0.3696315715866354,1786,0.005015868219536035
交互项,Size,-0.01589220723006299,0.010173720409550033,-1.5620841334645914,0.11833003369273576,5269,0.0062778811667828505
交互项,ROA,0.13754385969876093,0.05641873112963222,2.4379112565067986,0.01480622273875598,5269,0.0062778811667828505
交互项,Leverage,-0.006830266736916411,0.031362330646990656,-0.2177856873520273,0.8276047839242877,5269,0.0062778811667828505
交互项,Post_x_Upstream,0.06165382901554037,0.014031308094252008,4.394018619033613,1.1352483580084893e-05,5269,0.0062778811667828505
