======================================================================
DID回归完整日志
生成时间：2026-07-27 09:51:14
======================================================================

【Table 2 详细结果】
   Model         Variable  Coefficient  Std_Error    t_stat   p_value  N_obs  R_squared
0    全样本            const     0.000060   0.011631  0.005157  0.995885   5269   0.007199
1    全样本             Post     0.017580   0.006698  2.624735  0.008672   5269   0.007199
2    全样本             Size     0.004275   0.002250  1.900004  0.057433   5269   0.007199
3    全样本              ROA     0.148184   0.049432  2.997761  0.002720   5269   0.007199
4    全样本         Leverage    -0.014585   0.014331 -1.017690  0.308825   5269   0.007199
5    全样本         Stkcd_fe     0.000508   0.000139  3.670618  0.000242   5269   0.007199
6    全样本          time_fe    -0.000363   0.000125 -2.892457  0.003822   5269   0.007199
7     上游            const     0.058720   0.022244  2.639849  0.008294   1729   0.011819
8     上游             Post     0.046342   0.013493  3.434587  0.000593   1729   0.011819
9     上游             Size    -0.010148   0.004972 -2.041105  0.041240   1729   0.011819
10    上游              ROA     0.054900   0.078347  0.700724  0.483475   1729   0.011819
11    上游         Leverage     0.013420   0.028190  0.476064  0.634028   1729   0.011819
12    上游         Stkcd_fe     0.002064   0.000741  2.782986  0.005386   1729   0.011819
13    上游          time_fe    -0.000025   0.000238 -0.105779  0.915757   1729   0.011819
14    下游            const     0.051516   0.036921  1.395325  0.162918   1786   0.006073
15    下游             Post     0.007470   0.007972  0.936995  0.348761   1786   0.006073
16    下游             Size    -0.008572   0.007331 -1.169383  0.242249   1786   0.006073
17    下游              ROA     0.164063   0.077189  2.125477  0.033547   1786   0.006073
18    下游         Leverage     0.006739   0.020018  0.336630  0.736396   1786   0.006073
19    下游         Stkcd_fe     0.000088   0.000664  0.132166  0.894853   1786   0.006073
20    下游          time_fe    -0.000321   0.000134 -2.389473  0.016873   1786   0.006073
21   交互项            const     0.025991   0.010574  2.458059  0.013969   5269   0.016731
22   交互项             Post    -0.001952   0.005916 -0.329904  0.741473   5269   0.016731
23   交互项      Is_Upstream     0.021443   0.004552  4.710296  0.000002   5269   0.016731
24   交互项  Post_x_Upstream     0.056024   0.011918  4.700864  0.000003   5269   0.016731
25   交互项             Size    -0.003044   0.001895 -1.606051  0.108263   5269   0.016731
26   交互项              ROA     0.080583   0.040468  1.991287  0.046449   5269   0.016731
27   交互项         Leverage    -0.003506   0.012079 -0.290205  0.771659   5269   0.016731
28   交互项         Stkcd_fe     0.000339   0.000104  3.265806  0.001092   5269   0.016731
29   交互项          time_fe    -0.000313   0.000121 -2.592737  0.009522   5269   0.016731
